techs,color,name,base_tech,flow_cap_max,flow_out_eff_per_distance,lifetime,link_to,link_from,distance
LVEtransmission582_to_LVEtransmission936_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission936,LVEtransmission582,
LVEtransmission936_to_LVEtransmission468_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission468,LVEtransmission936,
LVEtransmission468_to_LVEtransmission562_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission562,LVEtransmission468,
LVEtransmission1003_to_LVEtransmission453_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission453,LVEtransmission1003,
LVEtransmission453_to_LVEtransmission999_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission999,LVEtransmission453,
LVEtransmission999_to_LVEtransmission927_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission927,LVEtransmission999,
LVEtransmission927_to_LVEtransmission685_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission685,LVEtransmission927,
LVEtransmission685_to_LVEtransmission873_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission873,LVEtransmission685,
LVEtransmission873_to_LVEtransmission1337_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission1337,LVEtransmission873,
LVEtransmission1337_to_LVEtransmission524_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission524,LVEtransmission1337,
LVEtransmission524_to_LVEtransmission1125_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission1125,LVEtransmission524,
LVEtransmission1125_to_LVEtransmission511_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission511,LVEtransmission1125,
LVEtransmission511_to_LVEtransmission931_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission931,LVEtransmission511,
LVEtransmission931_to_LVEtransmission173_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission173,LVEtransmission931,
LVEtransmission173_to_LVEtransmission300_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission300,LVEtransmission173,
LVEtransmission300_to_LVEtransmission1225_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission1225,LVEtransmission300,
LVEtransmission1225_to_LVEtransmission24_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission24,LVEtransmission1225,
LVEtransmission24_to_LVEtransmission893_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission893,LVEtransmission24,
LVEtransmission893_to_LVEtransmission1286_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission1286,LVEtransmission893,
LVEtransmission1286_to_LVEtransmission532_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission532,LVEtransmission1286,
LVEtransmission532_to_LVEtransmission346_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission346,LVEtransmission532,
LVEtransmission346_to_LVEtransmission1236_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission1236,LVEtransmission346,
LVEtransmission1236_to_LVEtransmission1414_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission1414,LVEtransmission1236,
LVEtransmission1414_to_LVEtransmission15_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission15,LVEtransmission1414,
LVEtransmission15_to_LVEtransmission1039_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission1039,LVEtransmission15,
LVEtransmission1039_to_LVEtransmission26_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission26,LVEtransmission1039,
LVEtransmission26_to_LVEtransmission1065_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission1065,LVEtransmission26,
LVEtransmission1065_to_LVEtransmission840_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission840,LVEtransmission1065,
LVEtransmission840_to_LVEtransmission462_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission462,LVEtransmission840,
LVEtransmission1422_to_LVEtransmission243_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission243,LVEtransmission1422,
LVEtransmission243_to_LVEtransmission841_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission841,LVEtransmission243,
LVEtransmission874_to_LVEtransmission841_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission841,LVEtransmission874,
LVEtransmission383_to_LVEtransmission1297_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission1297,LVEtransmission383,
LVEtransmission1297_to_LVEtransmission999_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission999,LVEtransmission1297,
LVEtransmission478_to_LVEtransmission1371_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission1371,LVEtransmission478,
LVEtransmission1371_to_LVEtransmission28_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission28,LVEtransmission1371,
LVEtransmission28_to_LVEtransmission1362_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission1362,LVEtransmission28,
LVEtransmission1362_to_LVEtransmission913_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission913,LVEtransmission1362,
LVEtransmission913_to_LVEtransmission1206_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission1206,LVEtransmission913,
LVEtransmission1206_to_LVEtransmission1287_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission1287,LVEtransmission1206,
LVEtransmission1287_to_LVEtransmission1204_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission1204,LVEtransmission1287,
LVEtransmission1204_to_LVEtransmission144_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission144,LVEtransmission1204,
LVEtransmission144_to_LVEtransmission613_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission613,LVEtransmission144,
LVEtransmission613_to_LVEtransmission1176_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission1176,LVEtransmission613,
LVEtransmission1176_to_LVEtransmission1033_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission1033,LVEtransmission1176,
LVEtransmission1033_to_LVEtransmission677_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission677,LVEtransmission1033,
LVEtransmission677_to_LVEtransmission1215_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission1215,LVEtransmission677,
LVEtransmission1215_to_LVEtransmission420_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission420,LVEtransmission1215,
LVEtransmission420_to_LVEtransmission14_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission14,LVEtransmission420,
LVEtransmission14_to_LVEtransmission850_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission850,LVEtransmission14,
LVEtransmission850_to_LVEtransmission72_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission72,LVEtransmission850,
LVEtransmission72_to_LVEtransmission969_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission969,LVEtransmission72,
LVEtransmission969_to_LVEtransmission563_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission563,LVEtransmission969,
LVEtransmission563_to_LVEtransmission89_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission89,LVEtransmission563,
LVEtransmission89_to_LVEtransmission288_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission288,LVEtransmission89,
LVEtransmission288_to_LVEtransmission907_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission907,LVEtransmission288,
LVEtransmission650_to_LVEtransmission367_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission367,LVEtransmission650,
LVEtransmission367_to_LVEtransmission76_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission76,LVEtransmission367,
