techs,cost_flow_cap_per_distance
LVEtransmission813_to_LVEtransmission411_electricity,100
LVEtransmission411_to_LVEtransmission513_electricity,100
LVEtransmission513_to_LVEtransmission193_electricity,100
LVEtransmission193_to_LVEtransmission490_electricity,100
LVEtransmission405_to_LVEtransmission638_electricity,100
LVEtransmission638_to_LVEtransmission538_electricity,100
LVEtransmission538_to_LVEtransmission68_electricity,100
LVEtransmission68_to_LVEtransmission447_electricity,100
LVEtransmission447_to_LVEtransmission984_electricity,100
LVEtransmission984_to_LVEtransmission937_electricity,100
LVEtransmission937_to_LVEtransmission104_electricity,100
LVEtransmission104_to_LVEtransmission763_electricity,100
LVEtransmission763_to_LVEtransmission262_electricity,100
LVEtransmission262_to_LVEtransmission1027_electricity,100
LVEtransmission1027_to_LVEtransmission140_electricity,100
LVEtransmission140_to_LVEtransmission312_electricity,100
LVEtransmission312_to_LVEtransmission1040_electricity,100
LVEtransmission756_to_LVEtransmission531_electricity,100
LVEtransmission531_to_LVEtransmission344_electricity,100
LVEtransmission344_to_LVEtransmission1038_electricity,100
LVEtransmission1038_to_LVEtransmission790_electricity,100
LVEtransmission790_to_LVEtransmission808_electricity,100
LVEtransmission808_to_LVEtransmission695_electricity,100
LVEtransmission695_to_LVEtransmission138_electricity,100
LVEtransmission138_to_LVEtransmission552_electricity,100
LVEtransmission552_to_LVEtransmission644_electricity,100
LVEtransmission644_to_LVEtransmission346_electricity,100
LVEtransmission346_to_LVEtransmission329_electricity,100
LVEtransmission329_to_LVEtransmission497_electricity,100
LVEtransmission497_to_LVEtransmission616_electricity,100
LVEtransmission616_to_LVEtransmission509_electricity,100
LVEtransmission81_to_LVEtransmission913_electricity,100
LVEtransmission913_to_LVEtransmission806_electricity,100
LVEtransmission806_to_LVEtransmission58_electricity,100
LVEtransmission58_to_LVEtransmission938_electricity,100
LVEtransmission938_to_LVEtransmission830_electricity,100
LVEtransmission830_to_LVEtransmission854_electricity,100
LVEtransmission854_to_LVEtransmission680_electricity,100
LVEtransmission680_to_LVEtransmission1033_electricity,100
LVEtransmission1033_to_LVEtransmission928_electricity,100
LVEtransmission928_to_LVEtransmission393_electricity,100
LVEtransmission393_to_LVEtransmission786_electricity,100
LVEtransmission786_to_LVEtransmission141_electricity,100
LVEtransmission141_to_LVEtransmission35_electricity,100
LVEtransmission35_to_LVEtransmission886_electricity,100
LVEtransmission886_to_LVEtransmission185_electricity,100
LVEtransmission185_to_LVEtransmission107_electricity,100
LVEtransmission107_to_LVEtransmission539_electricity,100
LVEtransmission539_to_LVEtransmission50_electricity,100
LVEtransmission50_to_LVEtransmission514_electricity,100
LVEtransmission514_to_LVEtransmission27_electricity,100
LVEtransmission27_to_LVEtransmission293_electricity,100
LVEtransmission293_to_LVEtransmission413_electricity,100
