nodes,latitude,longitude,comment
TE63,51.9946313,4.3603853,wolfflaan
TE64,51.9946496,4.3605308,wolfflaan
TE65,51.9948395,4.3604195,wolfflaan
TE66,51.9949309,4.360369,wolfflaan
TE67,51.9950205,4.3603128,wolfflaan
TE68,51.9951066,4.3602704,wolfflaan
TE69,51.9953,4.3601504,wolfflaan starringpad intersection
TE70,51.9952472,4.3599247,starringpad
TE71,51.9952191,4.3597795,starringpad
TE72,51.9951894,4.3596386,starringpad
TE73,51.9951587,4.3595006,starringpad
