techs,color,name,base_tech,flow_cap_max,flow_out_eff_per_distance,lifetime,link_to,link_from
LQHtransmission818_to_LQHtransmission591_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission591,LQHtransmission818
LQHtransmission591_to_LQHtransmission633_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission633,LQHtransmission591
LQHtransmission633_to_LQHtransmission12_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission12,LQHtransmission633
LQHtransmission12_to_LQHtransmission776_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission776,LQHtransmission12
LQHtransmission776_to_LQHtransmission760_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission760,LQHtransmission776
LQHtransmission760_to_LQHtransmission441_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission441,LQHtransmission760
LQHtransmission441_to_LQHtransmission778_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission778,LQHtransmission441
LQHtransmission778_to_LQHtransmission530_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission530,LQHtransmission778
LQHtransmission530_to_LQHtransmission338_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission338,LQHtransmission530
LQHtransmission338_to_LQHtransmission687_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission687,LQHtransmission338
LQHtransmission687_to_LQHtransmission421_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission421,LQHtransmission687
LQHtransmission421_to_LQHtransmission833_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission833,LQHtransmission421
LQHtransmission833_to_LQHtransmission165_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission165,LQHtransmission833
LQHtransmission165_to_LQHtransmission508_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission508,LQHtransmission165
LQHtransmission508_to_LQHtransmission191_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission191,LQHtransmission508
LQHtransmission191_to_LQHtransmission226_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission226,LQHtransmission191
LQHtransmission226_to_LQHtransmission254_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission254,LQHtransmission226
LQHtransmission254_to_LQHtransmission607_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission607,LQHtransmission254
LQHtransmission607_to_LQHtransmission96_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission96,LQHtransmission607
LQHtransmission96_to_LQHtransmission720_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission720,LQHtransmission96
LQHtransmission720_to_LQHtransmission845_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission845,LQHtransmission720
LQHtransmission845_to_LQHtransmission594_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission594,LQHtransmission845
LQHtransmission489_to_LQHtransmission586_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission586,LQHtransmission489
LQHtransmission159_to_LQHtransmission617_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission617,LQHtransmission159
LQHtransmission617_to_LQHtransmission548_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission548,LQHtransmission617
LQHtransmission548_to_LQHtransmission528_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission528,LQHtransmission548
LQHtransmission690_to_LQHtransmission238_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission238,LQHtransmission690
LQHtransmission238_to_LQHtransmission259_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission259,LQHtransmission238
LQHtransmission259_to_LQHtransmission664_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission664,LQHtransmission259
LQHtransmission664_to_LQHtransmission263_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission263,LQHtransmission664
LQHtransmission263_to_LQHtransmission360_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission360,LQHtransmission263
LQHtransmission360_to_LQHtransmission277_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission277,LQHtransmission360
LQHtransmission277_to_LQHtransmission789_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission789,LQHtransmission277
LQHtransmission789_to_LQHtransmission265_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission265,LQHtransmission789
LQHtransmission265_to_LQHtransmission337_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission337,LQHtransmission265
LQHtransmission337_to_LQHtransmission802_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission802,LQHtransmission337
LQHtransmission802_to_LQHtransmission150_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission150,LQHtransmission802
LQHtransmission150_to_LQHtransmission248_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission248,LQHtransmission150
LQHtransmission248_to_LQHtransmission542_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission542,LQHtransmission248
LQHtransmission542_to_LQHtransmission109_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission109,LQHtransmission542
LQHtransmission109_to_LQHtransmission51_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission51,LQHtransmission109
LQHtransmission51_to_LQHtransmission44_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission44,LQHtransmission51
LQHtransmission44_to_LQHtransmission877_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission877,LQHtransmission44
LQHtransmission877_to_LQHtransmission701_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission701,LQHtransmission877
LQHtransmission701_to_LQHtransmission291_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission291,LQHtransmission701
LQHtransmission291_to_LQHtransmission754_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission754,LQHtransmission291
LQHtransmission754_to_LQHtransmission356_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission356,LQHtransmission754
LQHtransmission356_to_LQHtransmission213_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission213,LQHtransmission356
LQHtransmission213_to_LQHtransmission406_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission406,LQHtransmission213
LQHtransmission406_to_LQHtransmission631_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission631,LQHtransmission406
LQHtransmission631_to_LQHtransmission160_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission160,LQHtransmission631
LQHtransmission160_to_LQHtransmission344_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission344,LQHtransmission160
LQHtransmission344_to_LQHtransmission293_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission293,LQHtransmission344
LQHtransmission293_to_LQHtransmission816_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission816,LQHtransmission293
LQHtransmission648_to_LQHtransmission628_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission628,LQHtransmission648
LQHtransmission628_to_LQHtransmission148_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission148,LQHtransmission628
