techs,carrier_out,carrier_in
transmission1824_to_transmission1380_electricity,1,1
transmission1380_to_transmission2457_electricity,1,1
transmission2457_to_transmission2909_electricity,1,1
transmission2909_to_transmission111_electricity,1,1
transmission1635_to_transmission627_electricity,1,1
transmission627_to_transmission1336_electricity,1,1
transmission1336_to_transmission2419_electricity,1,1
transmission2419_to_transmission1295_electricity,1,1
transmission1295_to_transmission745_electricity,1,1
transmission745_to_transmission1635_electricity,1,1
transmission2429_to_transmission584_electricity,1,1
transmission584_to_transmission488_electricity,1,1
transmission488_to_transmission2704_electricity,1,1
transmission56_to_transmission2468_electricity,1,1
transmission1796_to_transmission56_electricity,1,1
transmission56_to_transmission78_electricity,1,1
transmission78_to_transmission1492_electricity,1,1
transmission1492_to_transmission752_electricity,1,1
transmission2793_to_transmission550_electricity,1,1
transmission550_to_transmission623_electricity,1,1
transmission623_to_transmission1773_electricity,1,1
transmission550_to_transmission2389_electricity,1,1
transmission1790_to_transmission1907_electricity,1,1
transmission1907_to_transmission230_electricity,1,1
transmission230_to_transmission403_electricity,1,1
transmission230_to_transmission134_electricity,1,1
transmission134_to_transmission1218_electricity,1,1
transmission1218_to_transmission562_electricity,1,1
transmission1218_to_transmission1572_electricity,1,1
transmission1572_to_transmission404_electricity,1,1
transmission1572_to_transmission1042_electricity,1,1
transmission1042_to_transmission108_electricity,1,1
transmission134_to_transmission1746_electricity,1,1
transmission1746_to_transmission1042_electricity,1,1
transmission2666_to_transmission128_electricity,1,1
transmission128_to_transmission999_electricity,1,1
transmission999_to_transmission2133_electricity,1,1
transmission2133_to_transmission1252_electricity,1,1
transmission2184_to_transmission2448_electricity,1,1
transmission2448_to_transmission2638_electricity,1,1
transmission2638_to_transmission1073_electricity,1,1
transmission1073_to_transmission285_electricity,1,1
transmission285_to_transmission2392_electricity,1,1
transmission2392_to_transmission695_electricity,1,1
transmission695_to_transmission329_electricity,1,1
transmission329_to_transmission2666_electricity,1,1
transmission2146_to_transmission843_electricity,1,1
transmission843_to_transmission1438_electricity,1,1
transmission64_to_transmission1277_electricity,1,1
transmission728_to_transmission64_electricity,1,1
transmission64_to_transmission843_electricity,1,1
transmission211_to_transmission728_electricity,1,1
transmission728_to_transmission2539_electricity,1,1
transmission2539_to_transmission1438_electricity,1,1
transmission1438_to_transmission1409_electricity,1,1
transmission1409_to_transmission831_electricity,1,1
transmission831_to_transmission810_electricity,1,1
transmission2152_to_transmission2282_electricity,1,1
transmission2282_to_transmission299_electricity,1,1
transmission1357_to_transmission2282_electricity,1,1
transmission1411_to_transmission515_electricity,1,1
transmission515_to_transmission1357_electricity,1,1
transmission1357_to_transmission1609_electricity,1,1
transmission1609_to_transmission1471_electricity,1,1
transmission1471_to_transmission817_electricity,1,1
transmission817_to_transmission310_electricity,1,1
transmission310_to_transmission1899_electricity,1,1
transmission1899_to_transmission1823_electricity,1,1
transmission1314_to_transmission1115_electricity,1,1
transmission2636_to_transmission2553_electricity,1,1
transmission2553_to_transmission1314_electricity,1,1
transmission1293_to_transmission12_electricity,1,1
transmission12_to_transmission181_electricity,1,1
transmission181_to_transmission1209_electricity,1,1
transmission1209_to_transmission344_electricity,1,1
transmission344_to_transmission919_electricity,1,1
transmission1555_to_transmission620_electricity,1,1
transmission620_to_transmission1924_electricity,1,1
transmission1924_to_transmission453_electricity,1,1
transmission453_to_transmission797_electricity,1,1
transmission797_to_transmission479_electricity,1,1
transmission84_to_transmission1494_electricity,1,1
