techs,carrier_in,carrier_out
TH38_TH37_interp_6_to_TH38_TH37_interp_7,1,1
TH38_TH37_interp_7_to_TH38_TH37_interp_8,1,1
TH38_TH37_interp_8_to_TH38_TH37_interp_9,1,1
TH38_TH37_interp_9_to_TH38_TH37_interp_10,1,1
TH38_TH37_interp_10_to_TH37,1,1
TH39_to_TH39_TH38_interp_1,1,1
TH39_TH38_interp_1_to_TH39_TH38_interp_2,1,1
TH39_TH38_interp_2_to_TH39_TH38_interp_3,1,1
TH39_TH38_interp_3_to_TH39_TH38_interp_4,1,1
TH39_TH38_interp_4_to_TH39_TH38_interp_5,1,1
TH39_TH38_interp_5_to_TH39_TH38_interp_6,1,1
TH39_TH38_interp_6_to_TH39_TH38_interp_7,1,1
TH39_TH38_interp_7_to_TH39_TH38_interp_8,1,1
TH39_TH38_interp_8_to_TH39_TH38_interp_9,1,1
TH39_TH38_interp_9_to_TH39_TH38_interp_10,1,1
TH39_TH38_interp_10_to_TH38,1,1
TH40_to_TH40_TH39_interp_1,1,1
TH40_TH39_interp_1_to_TH40_TH39_interp_2,1,1
TH40_TH39_interp_2_to_TH40_TH39_interp_3,1,1
TH40_TH39_interp_3_to_TH40_TH39_interp_4,1,1
TH40_TH39_interp_4_to_TH40_TH39_interp_5,1,1
TH40_TH39_interp_5_to_TH40_TH39_interp_6,1,1
TH40_TH39_interp_6_to_TH40_TH39_interp_7,1,1
TH40_TH39_interp_7_to_TH40_TH39_interp_8,1,1
