techs,carrier_out,carrier_in
transmission2878_to_transmission1323_heat,1,1
transmission1323_to_transmission583_heat,1,1
transmission583_to_transmission1954_heat,1,1
transmission1954_to_transmission1579_heat,1,1
transmission737_to_transmission664_heat,1,1
transmission664_to_transmission408_heat,1,1
transmission408_to_transmission962_heat,1,1
transmission962_to_transmission2757_heat,1,1
transmission2757_to_transmission2284_heat,1,1
transmission2284_to_transmission2162_heat,1,1
transmission2162_to_transmission2871_heat,1,1
transmission2871_to_transmission2739_heat,1,1
transmission2739_to_transmission1228_heat,1,1
transmission1228_to_transmission685_heat,1,1
transmission685_to_transmission2295_heat,1,1
transmission2295_to_transmission2851_heat,1,1
transmission2851_to_transmission1423_heat,1,1
transmission1423_to_transmission2759_heat,1,1
transmission2759_to_transmission2148_heat,1,1
transmission2148_to_transmission1881_heat,1,1
transmission1881_to_transmission2823_heat,1,1
transmission2823_to_transmission1299_heat,1,1
transmission1299_to_transmission1660_heat,1,1
transmission1660_to_transmission1158_heat,1,1
transmission1158_to_transmission900_heat,1,1
transmission900_to_transmission88_heat,1,1
transmission88_to_transmission1813_heat,1,1
transmission1813_to_transmission369_heat,1,1
transmission369_to_transmission1641_heat,1,1
transmission1641_to_transmission517_heat,1,1
transmission517_to_transmission2193_heat,1,1
transmission2193_to_transmission530_heat,1,1
transmission530_to_transmission393_heat,1,1
transmission393_to_transmission1682_heat,1,1
transmission1682_to_transmission1687_heat,1,1
transmission1687_to_transmission1356_heat,1,1
transmission1356_to_transmission714_heat,1,1
transmission714_to_transmission1318_heat,1,1
transmission1318_to_transmission974_heat,1,1
transmission974_to_transmission644_heat,1,1
transmission2020_to_transmission1284_heat,1,1
transmission1284_to_transmission101_heat,1,1
transmission101_to_transmission2905_heat,1,1
transmission2905_to_transmission968_heat,1,1
transmission968_to_transmission444_heat,1,1
transmission444_to_transmission629_heat,1,1
transmission629_to_transmission2718_heat,1,1
transmission2718_to_transmission2386_heat,1,1
transmission2386_to_transmission355_heat,1,1
transmission355_to_transmission2475_heat,1,1
transmission2475_to_transmission1512_heat,1,1
transmission1512_to_transmission2779_heat,1,1
transmission596_to_transmission2307_heat,1,1
transmission2307_to_transmission167_heat,1,1
transmission167_to_transmission2727_heat,1,1
transmission2727_to_transmission1867_heat,1,1
transmission1867_to_transmission2651_heat,1,1
transmission2651_to_transmission2304_heat,1,1
transmission2304_to_transmission1148_heat,1,1
transmission421_to_transmission2843_heat,1,1
transmission2843_to_transmission2255_heat,1,1
transmission2255_to_transmission2719_heat,1,1
transmission2719_to_transmission278_heat,1,1
transmission278_to_transmission694_heat,1,1
transmission1978_to_transmission2119_heat,1,1
transmission2119_to_transmission886_heat,1,1
transmission886_to_transmission327_heat,1,1
transmission327_to_transmission1427_heat,1,1
transmission1427_to_transmission581_heat,1,1
transmission581_to_transmission645_heat,1,1
transmission645_to_transmission1597_heat,1,1
transmission1597_to_transmission2298_heat,1,1
transmission2298_to_transmission2621_heat,1,1
transmission2621_to_transmission856_heat,1,1
transmission856_to_transmission2564_heat,1,1
transmission2564_to_transmission1208_heat,1,1
transmission1208_to_transmission737_heat,1,1
transmission737_to_transmission168_heat,1,1
transmission168_to_transmission1889_heat,1,1
transmission1889_to_transmission311_heat,1,1
transmission311_to_transmission2609_heat,1,1
transmission2609_to_transmission2404_heat,1,1
transmission2404_to_transmission1575_heat,1,1
transmission1575_to_transmission2576_heat,1,1
transmission2576_to_transmission281_heat,1,1
transmission281_to_transmission2311_heat,1,1
transmission2311_to_transmission2070_heat,1,1
transmission2070_to_transmission2796_heat,1,1
transmission2796_to_transmission2232_heat,1,1
transmission834_to_transmission270_heat,1,1
transmission270_to_transmission1167_heat,1,1
transmission1167_to_transmission1740_heat,1,1
transmission1740_to_transmission2598_heat,1,1
transmission2598_to_transmission2375_heat,1,1
transmission2375_to_transmission328_heat,1,1
transmission328_to_transmission2879_heat,1,1
transmission2879_to_transmission857_heat,1,1
transmission857_to_transmission1469_heat,1,1
transmission1469_to_transmission824_heat,1,1
transmission824_to_transmission692_heat,1,1
transmission692_to_transmission2210_heat,1,1
