geometry,lat,lon,id
POINT (4.3587604 51.9951363),51.9951363,4.3587604,transmission677
POINT (4.3555737 51.9958527),51.9958527,4.3555737,transmission678
POINT (4.3603956 51.996084),51.996084,4.3603956,transmission679
POINT (4.3631047 51.9914131),51.9914131,4.3631047,transmission680
POINT (4.3597792 51.9926033),51.9926033,4.3597792,transmission681
POINT (4.3570394 51.9937499),51.9937499,4.3570394,transmission682
POINT (4.3593211 51.9939537),51.9939537,4.3593211,transmission683
POINT (4.3581887 51.9962891),51.9962891,4.3581887,transmission684
POINT (4.3593089 51.9952138),51.9952138,4.3593089,transmission685
POINT (4.3616296 51.9928093),51.9928093,4.3616296,transmission686
POINT (4.3593524 51.9936981),51.9936981,4.3593524,transmission687
POINT (4.3560211 51.9956973),51.9956973,4.3560211,transmission688
