results_summary_supply_geothermal_capacity_adjusted_kW,run_id,result_type,combined_energy_supply_kW,technology_parameters_heat_pump_cop,results_summary_heat_pump_capacity_kW,topology_source,scenario,results_summary_total_heat_demand_kW,geothermal_heat_div_cop,year,neighborhood,lv_electricity_supply
5208.482935992957,20260121_122454,median,157.8328162422108,4.0,0.0,stedin,district_heating,4239.026170485219,157.8328162422108,2020,multatulibuurt,0.0
5284.5008259478855,20260121_122454,median,160.13638866508745,4.0,0.0,osm,district_heating,4239.02617048522,160.13638866508745,2020,multatulibuurt,0.0
,20260121_122454,median,1111.325929268036,4.0,4239.026170485219,stedin,full_electrification,4239.026170485219,0.0,2020,multatulibuurt,1111.325929268036
,20260121_122454,median,1093.1049267889184,4.0,4239.02617048522,osm,full_electrification,4239.02617048522,0.0,2020,multatulibuurt,1093.1049267889184
2514.48776373851,20260121_122454,median,621.8717059364337,4.0,2162.944066094653,stedin,hybrid,4239.026170485219,76.19659890116696,2020,multatulibuurt,545.6751070352668
2502.8647926681506,20260121_122454,median,623.210713485357,4.0,2162.944066094653,osm,hybrid,4239.026170485219,75.84438765661062,2020,multatulibuurt,547.3663258287464
12859.484220154687,20260121_122454,median,389.6813400046875,4.0,0.0,stedin,district_heating,11195.228861364363,389.6813400046875,2013,holstbuurt,0.0
12881.480802330556,20260121_122454,median,390.3479031009259,4.0,0.0,osm,district_heating,11195.228861364363,390.3479031009259,2013,holstbuurt,0.0
,20260121_122454,median,2961.3399937543536,4.0,11195.228861364363,stedin,full_electrification,11195.228861364363,0.0,2013,holstbuurt,2961.3399937543536
,20260121_122454,median,2936.123596577528,4.0,11195.228861364363,osm,full_electrification,11195.228861364363,0.0,2013,holstbuurt,2936.123596577528
11308.368898223627,20260121_122454,median,659.7632371112516,4.0,1249.2596259876798,stedin,hybrid,11195.228861364369,342.67784540071597,2013,holstbuurt,317.08539171053553
11296.655372168374,20260121_122454,median,659.0617411880822,4.0,1249.2596259876798,osm,hybrid,11195.228861364369,342.3228900657083,2013,holstbuurt,316.73885112237394
12012.62156022762,20260121_122454,median,364.01883515841274,4.0,0.0,stedin,district_heating,10433.052467430009,364.01883515841274,2019,holstbuurt,0.0
12034.61814240349,20260121_122454,median,364.6853982546512,4.0,0.0,osm,district_heating,10433.052467430003,364.6853982546512,2019,holstbuurt,0.0
,20260121_122454,median,2753.024787768729,4.0,10433.052467430009,stedin,full_electrification,10433.052467430009,0.0,2019,holstbuurt,2753.024787768729
,20260121_122454,median,2729.252992164733,4.0,10433.052467430003,osm,full_electrification,10433.052467430003,0.0,2019,holstbuurt,2729.252992164733
10573.249102881267,20260121_122454,median,611.6343128611861,4.0,1148.691047861446,stedin,hybrid,10433.052467430009,320.401487966099,2019,holstbuurt,291.2328248950871
10561.535576826012,20260121_122454,median,610.9835864896472,4.0,1148.691047861446,osm,hybrid,10433.052467430009,320.0465326310913,2019,holstbuurt,290.937053858556
10495.930759388562,20260121_122454,median,318.05850786025945,4.0,0.0,stedin,district_heating,9068.030746674853,318.05850786025945,2020,holstbuurt,0.0
10517.927341564426,20260121_122454,median,318.72507095649775,4.0,0.0,osm,district_heating,9068.03074667485,318.72507095649775,2020,holstbuurt,0.0
,20260121_122454,median,2380.6414348074327,4.0,9068.03074667485,stedin,full_electrification,9068.03074667485,0.0,2020,holstbuurt,2380.6414348074327
,20260121_122454,median,2361.257500936155,4.0,9068.03074667485,osm,full_electrification,9068.03074667485,0.0,2020,holstbuurt,2361.257500936155
9256.052101854695,20260121_122454,median,525.6112799776146,4.0,969.1466280302031,stedin,hybrid,9068.03074667485,280.4864273289302,2020,holstbuurt,245.1248526486844
9244.338575799444,20260121_122454,median,525.0676878223564,4.0,969.1466280302031,osm,hybrid,9068.03074667485,280.13147199392256,2020,holstbuurt,244.93621582843383
7871.656706811648,20260121_122454,median,238.5350517215651,4.0,0.0,stedin,district_heating,6949.155142941,238.5350517215651,2013,mythologiebuurt,0.0
7874.139079434024,20260121_122454,median,238.61027513436437,4.0,0.0,osm,district_heating,6949.155142941,238.61027513436437,2013,mythologiebuurt,0.0
,20260121_122454,median,1873.81936170605,4.0,6949.155142941,stedin,full_electrification,6949.155142941,0.0,2013,mythologiebuurt,1873.81936170605
,20260121_122454,median,1989.056473418725,4.0,6949.155142941,osm,full_electrification,6949.155142941,0.0,2013,mythologiebuurt,1989.056473418725
7837.737100360651,20260121_122454,median,244.23634478889,4.0,26.83162232750748,stedin,hybrid,6949.155142941,237.50718485941368,2013,mythologiebuurt,6.729159929476319
7842.337847230114,20260121_122454,median,244.36978266032287,4.0,26.83162232750748,osm,hybrid,6949.155142941,237.64660143121557,2013,mythologiebuurt,6.723181229107292
6801.680147289264,20260121_122454,median,206.1115196148262,4.0,0.0,stedin,district_heating,5986.176239370851,206.1115196148262,2019,mythologiebuurt,0.0
6804.162519911638,20260121_122454,median,206.1867430276254,4.0,0.0,osm,district_heating,5986.176239370851,206.1867430276254,2019,mythologiebuurt,0.0
,20260121_122454,median,1604.5005701372988,4.0,5986.176239370851,stedin,full_electrification,5986.176239370851,0.0,2019,mythologiebuurt,1604.5005701372988
,20260121_122454,median,1671.607294445209,4.0,5986.176239370851,osm,full_electrification,5986.176239370851,0.0,2019,mythologiebuurt,1671.607294445209
6716.837864807081,20260121_122454,median,221.41184961234092,4.0,71.42289236893936,stedin,hybrid,5986.176239370851,203.54054135779035,2019,mythologiebuurt,17.87130825455057
6721.402358566583,20260121_122454,median,221.6434557502317,4.0,71.42289236893936,osm,hybrid,5986.176239370851,203.6788593505025,2019,mythologiebuurt,17.96459639972921
5378.130059427262,20260121_122454,median,162.97363816446247,4.0,0.0,stedin,district_heating,4704.981160295047,162.97363816446247,2020,mythologiebuurt,0.0
5380.612432049631,20260121_122454,median,163.04886157726153,4.0,0.0,osm,district_heating,4704.981160295047,163.04886157726153,2020,mythologiebuurt,0.0
,20260121_122454,median,1239.9810153947758,4.0,4704.981160295047,stedin,full_electrification,4704.981160295047,0.0,2020,mythologiebuurt,1239.9810153947758
,20260121_122454,median,1287.808293464521,4.0,4704.981160295047,osm,full_electrification,4704.981160295047,0.0,2020,mythologiebuurt,1287.808293464521
5318.220922428212,20260121_122454,median,173.41473546392612,4.0,48.98306143411877,stedin,hybrid,4704.981160295047,161.15820977055188,2020,mythologiebuurt,12.25652569337423
5322.785416187712,20260121_122454,median,173.58708579010445,4.0,48.98306143411877,osm,hybrid,4704.981160295047,161.296527763264,2020,mythologiebuurt,12.290558026840433
8541.371085470135,20260121_122454,median,258.82942683242834,4.0,0.0,stedin,district_heating,7520.457660008799,258.82942683242834,2013,poptahofzuid,0.0
8573.285483160902,20260121_122454,median,259.7965297927546,4.0,0.0,osm,district_heating,7520.4576600088,259.7965297927546,2013,poptahofzuid,0.0
,20260121_122454,median,2094.0675781273494,4.0,7520.457660008799,stedin,full_electrification,7520.457660008799,0.0,2013,poptahofzuid,2094.0675781273494
,20260121_122454,median,2017.637614919353,4.0,7520.4576600088,osm,full_electrification,7520.4576600088,0.0,2013,poptahofzuid,2017.637614919353
