techs,name,capacity_kw,distance_m,environmental_impact_per_kW,environmental_impact
D132_to_TH59_TH58_interp_3,Heat distribution,10.0,19.10992712077054,1.0,10.0
D101_to_TH52_TH51_interp_4,Heat distribution,10.0,17.306939927506154,1.0,10.0
D134_to_TH61_TH60_interp_6,Heat distribution,10.0,26.35974611257656,1.0,10.0
D21_to_TH18_TH17_interp_10,Heat distribution,10.0,15.010390293341375,1.0,10.0
D22_to_TH17_TH16_interp_3,Heat distribution,10.0,15.257304405174096,1.0,10.0
D24_to_TH17_TH16_interp_10,Heat distribution,10.0,16.04856368687601,1.0,10.0
D25_to_TH16_TH15_interp_3,Heat distribution,10.0,17.943942172066695,1.0,10.0
D26_to_TH16_TH15_interp_8,Heat distribution,10.0,15.380593639789327,1.0,10.0
D27_to_TH15,Heat distribution,10.0,15.806990830798503,1.0,10.0
D20_to_TH24,Heat distribution,10.0,13.177224782834912,1.0,10.0
D28_to_TH15_TH14_interp_3,Heat distribution,10.0,16.170833519709188,1.0,10.0
D2_to_TH6,Heat distribution,10.0,62.0326838677778,1.0,10.0
D30_to_TH11_TH24_interp_7,Heat distribution,10.0,16.67534653540046,1.0,10.0
D31_to_TH12,Heat distribution,10.0,21.241429563238878,1.0,10.0
D32_to_TH13_TH12_interp_10,Heat distribution,10.0,21.374728150022165,1.0,10.0
D33_to_TH13_TH12_interp_7,Heat distribution,10.0,21.634093331091286,1.0,10.0
D133_to_TH61_TH60_interp_10,Heat distribution,10.0,28.197635887296865,1.0,10.0
D29_to_TH11_TH24_interp_7,Heat distribution,10.0,12.17648692862836,1.0,10.0
D1_to_TH30_TH29_interp_4,Heat distribution,10.0,48.67828799077207,1.0,10.0
D23_to_TH17_TH16_interp_6,Heat distribution,10.0,15.890749206935256,1.0,10.0
D18_to_TH24_TH23_interp_4,Heat distribution,10.0,15.032987889951245,1.0,10.0
D135_to_TH63_TH62_interp_2,Heat distribution,10.0,23.70717959312137,1.0,10.0
D136_to_TH63_TH62_interp_2,Heat distribution,10.0,18.832444467987898,1.0,10.0
D137_to_TH63_TH62_interp_2,Heat distribution,10.0,14.396890870091454,1.0,10.0
D19_to_TH24_TH23_interp_2,Heat distribution,10.0,12.702541971157721,1.0,10.0
D139_to_TH63,Heat distribution,10.0,11.291024115252972,1.0,10.0
D13_to_TH23_TH22_interp_7,Heat distribution,10.0,16.264004852629334,1.0,10.0
D140_to_TH64_TH63_interp_6,Heat distribution,10.0,11.393924791126107,1.0,10.0
D141_to_TH64_TH63_interp_1,Heat distribution,10.0,9.187393265996233,1.0,10.0
D138_to_TH63_TH62_interp_3,Heat distribution,10.0,8.349152997192311,1.0,10.0
D143_to_TH64,Heat distribution,10.0,12.618123510624942,1.0,10.0
D144_to_TH64,Heat distribution,10.0,16.991665960739148,1.0,10.0
D14_to_TH23_TH22_interp_5,Heat distribution,10.0,17.792549442482667,1.0,10.0
D15_to_TH23_TH22_interp_1,Heat distribution,10.0,16.17064357258432,1.0,10.0
D16_to_TH24_TH23_interp_9,Heat distribution,10.0,16.440697691267342,1.0,10.0
D142_to_TH64,Heat distribution,10.0,9.418111302983242,1.0,10.0
D17_to_TH24_TH23_interp_7,Heat distribution,10.0,15.958490789929007,1.0,10.0
TE1_SH1_interp_3_to_TE1_SH1_interp_4,Interpolated Electricity transmission,500.3354184043685,9.532216582699773,,
TE1_SH1_interp_4_to_TE1_SH1_interp_5,Interpolated Electricity transmission,500.2874876123625,9.532209659132523,,
TE1_SH1_interp_5_to_TE1_SH1_interp_6,Interpolated Electricity transmission,500.2395614468048,9.53220273591696,,
TE1_SH1_interp_6_to_TE1_SH1_interp_7,Interpolated Electricity transmission,500.1916399072439,9.532195813055917,,
TE1_SH1_interp_9_to_TE1_SH1_interp_10,Interpolated Electricity transmission,500.0479030400665,9.532175041996545,,
TE1_to_TE1_SE1_interp_1,Interpolated Electricity transmission,500.5271878458668,2.134336271309836,,
TE1_to_TE1_SH1_interp_1,Interpolated Electricity transmission,500.47923854356935,9.532237351637614,,
TE1_SH1_interp_2_to_TE1_SH1_interp_3,Interpolated Electricity transmission,500.38335382327466,9.53222350556078,,
TE1_SH1_interp_7_to_TE1_SH1_interp_8,Interpolated Electricity transmission,500.14372299323867,9.532188888426923,,
TE1_SH1_interp_1_to_TE1_SH1_interp_2,Interpolated Electricity transmission,500.4312938695273,9.53223042700903,,
TE1_SH1_interp_8_to_TE1_SH1_interp_9,Interpolated Electricity transmission,500.0958107043236,9.532181966978856,,
TE1_SE1_interp_9_to_TE1_SE1_interp_10,Interpolated Electricity transmission,500.623827536294,2.134336331179774,,
TE1_SE1_interp_8_to_TE1_SE1_interp_9,Interpolated Electricity transmission,500.6130888714103,2.1343363284955963,,
TE1_SE1_interp_7_to_TE1_SE1_interp_8,Interpolated Electricity transmission,500.60235043692427,2.1343363190949036,,
TE1_SE1_interp_6_to_TE1_SE1_interp_7,Interpolated Electricity transmission,500.5916122328133,2.134336313225403,,
TE1_SE1_interp_5_to_TE1_SE1_interp_6,Interpolated Electricity transmission,500.58087425907945,2.134336305945497,,
TE1_SE1_interp_4_to_TE1_SE1_interp_5,Interpolated Electricity transmission,500.5701365157162,2.134336299019055,,
TE1_SE1_interp_3_to_TE1_SE1_interp_4,Interpolated Electricity transmission,500.5593990027201,2.1343362917384585,,
TE1_SE1_interp_2_to_TE1_SE1_interp_3,Interpolated Electricity transmission,500.54866172007934,2.1343362858710293,,
TE1_SE1_interp_1_to_TE1_SE1_interp_2,Interpolated Electricity transmission,500.5379246677977,2.134336278237658,,
TE1_SE1_interp_10_to_SE1,Interpolated Electricity transmission,500.6345664315467,2.134336341642932,,
TE1_SH1_interp_10_to_SH1,Interpolated Electricity transmission,500.0,9.532168120549446,,
TH53_to_TH53_TH52_interp_1,Interpolated Heat transmission,200.27535361125533,0.7617850787183313,,
TH53_TH52_interp_9_to_TH53_TH52_interp_10,Interpolated Heat transmission,220.31107305675494,0.7617851610331183,,
TH53_TH52_interp_8_to_TH53_TH52_interp_9,Interpolated Heat transmission,220.30768246845844,0.7617851503536045,,
TH53_TH52_interp_7_to_TH53_TH52_interp_8,Interpolated Heat transmission,220.3042919323891,0.7617851400290733,,
TH53_TH52_interp_3_to_TH53_TH52_interp_4,Interpolated Heat transmission,210.28807800873633,0.7617851050957378,,
TH53_TH52_interp_5_to_TH53_TH52_interp_6,Interpolated Heat transmission,210.29455082653638,0.7617851239770074,,
TH53_TH52_interp_4_to_TH53_TH52_interp_5,Interpolated Heat transmission,210.29131439271458,0.7617851132974555,,
TH54_TH53_interp_10_to_TH53,Interpolated Heat transmission,200.27021474420235,1.2700940302642008,,
TH53_TH52_interp_6_to_TH53_TH52_interp_7,Interpolated Heat transmission,210.29778731021307,0.7617851321800675,,
