techs,color,name,base_tech,flow_cap_max,flow_out_eff_per_distance,lifetime,link_to,link_from,distance
LQHtransmission2803_to_LQHtransmission1543_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1543,LQHtransmission2803,
LQHtransmission1543_to_LQHtransmission2565_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission2565,LQHtransmission1543,
LQHtransmission2565_to_LQHtransmission2592_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission2592,LQHtransmission2565,
LQHtransmission2592_to_LQHtransmission2033_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission2033,LQHtransmission2592,
LQHtransmission2033_to_LQHtransmission2146_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission2146,LQHtransmission2033,
LQHtransmission2146_to_LQHtransmission3075_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission3075,LQHtransmission2146,
LQHtransmission3075_to_LQHtransmission1631_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1631,LQHtransmission3075,
LQHtransmission1631_to_LQHtransmission193_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission193,LQHtransmission1631,
LQHtransmission193_to_LQHtransmission142_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission142,LQHtransmission193,
LQHtransmission142_to_LQHtransmission130_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission130,LQHtransmission142,
LQHtransmission130_to_LQHtransmission492_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission492,LQHtransmission130,
LQHtransmission492_to_LQHtransmission1010_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1010,LQHtransmission492,
LQHtransmission1010_to_LQHtransmission1210_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1210,LQHtransmission1010,
LQHtransmission1210_to_LQHtransmission1877_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1877,LQHtransmission1210,
LQHtransmission1877_to_LQHtransmission2903_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission2903,LQHtransmission1877,
LQHtransmission1424_to_LQHtransmission1453_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1453,LQHtransmission1424,
LQHtransmission1453_to_LQHtransmission213_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission213,LQHtransmission1453,
LQHtransmission213_to_LQHtransmission2832_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission2832,LQHtransmission213,
LQHtransmission2832_to_LQHtransmission3121_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission3121,LQHtransmission2832,
LQHtransmission3121_to_LQHtransmission2885_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission2885,LQHtransmission3121,
LQHtransmission2885_to_LQHtransmission2208_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission2208,LQHtransmission2885,
LQHtransmission2208_to_LQHtransmission2713_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission2713,LQHtransmission2208,
LQHtransmission2713_to_LQHtransmission278_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission278,LQHtransmission2713,
LQHtransmission278_to_LQHtransmission1431_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1431,LQHtransmission278,
