techs,color,name,base_tech,flow_cap_max,flow_out_eff_per_distance,lifetime,link_to,link_from,distance
LVEtransmission2850_to_LVEtransmission413_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission413,LVEtransmission2850,
LVEtransmission413_to_LVEtransmission3001_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission3001,LVEtransmission413,
LVEtransmission3001_to_LVEtransmission1060_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission1060,LVEtransmission3001,
LVEtransmission1060_to_LVEtransmission2790_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission2790,LVEtransmission1060,
LVEtransmission2790_to_LVEtransmission253_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission253,LVEtransmission2790,
LVEtransmission253_to_LVEtransmission1964_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission1964,LVEtransmission253,
LVEtransmission1964_to_LVEtransmission3002_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission3002,LVEtransmission1964,
LVEtransmission3002_to_LVEtransmission615_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission615,LVEtransmission3002,
LVEtransmission615_to_LVEtransmission2626_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission2626,LVEtransmission615,
LVEtransmission2626_to_LVEtransmission178_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission178,LVEtransmission2626,
LVEtransmission1690_to_LVEtransmission1203_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission1203,LVEtransmission1690,
LVEtransmission1203_to_LVEtransmission357_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission357,LVEtransmission1203,
LVEtransmission357_to_LVEtransmission1332_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission1332,LVEtransmission357,
LVEtransmission2868_to_LVEtransmission2311_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission2311,LVEtransmission2868,
LVEtransmission2354_to_LVEtransmission2095_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission2095,LVEtransmission2354,
LVEtransmission610_to_LVEtransmission2540_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission2540,LVEtransmission610,
LVEtransmission2540_to_LVEtransmission1438_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission1438,LVEtransmission2540,
LVEtransmission1438_to_LVEtransmission1812_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission1812,LVEtransmission1438,
LVEtransmission1812_to_LVEtransmission2075_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission2075,LVEtransmission1812,
LVEtransmission2075_to_LVEtransmission2037_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission2037,LVEtransmission2075,
LVEtransmission2037_to_LVEtransmission1240_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission1240,LVEtransmission2037,
LVEtransmission1240_to_LVEtransmission737_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission737,LVEtransmission1240,
LVEtransmission737_to_LVEtransmission2840_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission2840,LVEtransmission737,
LVEtransmission2840_to_LVEtransmission2511_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission2511,LVEtransmission2840,
LVEtransmission2511_to_LVEtransmission599_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission599,LVEtransmission2511,
LVEtransmission599_to_LVEtransmission939_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission939,LVEtransmission599,
LVEtransmission939_to_LVEtransmission596_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission596,LVEtransmission939,
LVEtransmission596_to_LVEtransmission2454_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission2454,LVEtransmission596,
LVEtransmission2454_to_LVEtransmission1640_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission1640,LVEtransmission2454,
