techs,color,name,base_tech,flow_cap_max,flow_out_eff_per_distance,lifetime,link_to,link_from,distance
LQHtransmission215_to_LQHtransmission1681_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1681,LQHtransmission215,
LQHtransmission1681_to_LQHtransmission666_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission666,LQHtransmission1681,
LQHtransmission2208_to_LQHtransmission333_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission333,LQHtransmission2208,
LQHtransmission333_to_LQHtransmission2409_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission2409,LQHtransmission333,
LQHtransmission2409_to_LQHtransmission1772_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1772,LQHtransmission2409,
LQHtransmission1772_to_LQHtransmission1108_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1108,LQHtransmission1772,
LQHtransmission1108_to_LQHtransmission1773_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1773,LQHtransmission1108,
LQHtransmission1773_to_LQHtransmission152_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission152,LQHtransmission1773,
LQHtransmission152_to_LQHtransmission2574_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission2574,LQHtransmission152,
LQHtransmission2574_to_LQHtransmission430_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission430,LQHtransmission2574,
LQHtransmission430_to_LQHtransmission1862_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1862,LQHtransmission430,
LQHtransmission1862_to_LQHtransmission664_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission664,LQHtransmission1862,
LQHtransmission664_to_LQHtransmission2332_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission2332,LQHtransmission664,
LQHtransmission2332_to_LQHtransmission2089_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission2089,LQHtransmission2332,
LQHtransmission2089_to_LQHtransmission755_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission755,LQHtransmission2089,
LQHtransmission755_to_LQHtransmission761_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission761,LQHtransmission755,
LQHtransmission761_to_LQHtransmission747_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission747,LQHtransmission761,
LQHtransmission747_to_LQHtransmission919_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission919,LQHtransmission747,
LQHtransmission919_to_LQHtransmission1934_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1934,LQHtransmission919,
LQHtransmission1934_to_LQHtransmission176_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission176,LQHtransmission1934,
LQHtransmission176_to_LQHtransmission843_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission843,LQHtransmission176,
LQHtransmission843_to_LQHtransmission1702_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1702,LQHtransmission843,
LQHtransmission1702_to_LQHtransmission422_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission422,LQHtransmission1702,
LQHtransmission422_to_LQHtransmission35_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission35,LQHtransmission422,
LQHtransmission35_to_LQHtransmission378_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission378,LQHtransmission35,
LQHtransmission378_to_LQHtransmission592_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission592,LQHtransmission378,
LQHtransmission592_to_LQHtransmission370_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission370,LQHtransmission592,
LQHtransmission370_to_LQHtransmission415_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission415,LQHtransmission370,
LQHtransmission415_to_LQHtransmission1733_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1733,LQHtransmission415,
LQHtransmission1733_to_LQHtransmission562_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission562,LQHtransmission1733,
LQHtransmission562_to_LQHtransmission2506_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission2506,LQHtransmission562,
LQHtransmission2506_to_LQHtransmission789_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission789,LQHtransmission2506,
LQHtransmission789_to_LQHtransmission294_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission294,LQHtransmission789,
LQHtransmission294_to_LQHtransmission1446_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1446,LQHtransmission294,
LQHtransmission1446_to_LQHtransmission1226_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1226,LQHtransmission1446,
LQHtransmission1226_to_LQHtransmission102_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission102,LQHtransmission1226,
LQHtransmission102_to_LQHtransmission2227_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission2227,LQHtransmission102,
LQHtransmission2227_to_LQHtransmission321_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission321,LQHtransmission2227,
LQHtransmission321_to_LQHtransmission857_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission857,LQHtransmission321,
LQHtransmission857_to_LQHtransmission1154_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1154,LQHtransmission857,
LQHtransmission1154_to_LQHtransmission86_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission86,LQHtransmission1154,
LQHtransmission1174_to_LQHtransmission575_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission575,LQHtransmission1174,
LQHtransmission575_to_LQHtransmission1407_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1407,LQHtransmission575,
LQHtransmission1407_to_LQHtransmission1304_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1304,LQHtransmission1407,
LQHtransmission1304_to_LQHtransmission2414_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission2414,LQHtransmission1304,
LQHtransmission2414_to_LQHtransmission665_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission665,LQHtransmission2414,
LQHtransmission665_to_LQHtransmission1144_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1144,LQHtransmission665,
LQHtransmission1144_to_LQHtransmission325_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission325,LQHtransmission1144,
LQHtransmission325_to_LQHtransmission1253_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1253,LQHtransmission325,
LQHtransmission1253_to_LQHtransmission1157_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1157,LQHtransmission1253,
LQHtransmission1157_to_LQHtransmission24_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission24,LQHtransmission1157,
LQHtransmission24_to_LQHtransmission2010_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission2010,LQHtransmission24,
LQHtransmission2010_to_LQHtransmission1464_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1464,LQHtransmission2010,
LQHtransmission1464_to_LQHtransmission674_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission674,LQHtransmission1464,
LQHtransmission674_to_LQHtransmission585_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission585,LQHtransmission674,
LQHtransmission585_to_LQHtransmission819_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission819,LQHtransmission585,
LQHtransmission819_to_LQHtransmission1954_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1954,LQHtransmission819,
LQHtransmission1954_to_LQHtransmission288_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission288,LQHtransmission1954,
LQHtransmission2087_to_LQHtransmission918_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission918,LQHtransmission2087,
LQHtransmission918_to_LQHtransmission179_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission179,LQHtransmission918,
LQHtransmission179_to_LQHtransmission154_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission154,LQHtransmission179,
LQHtransmission154_to_LQHtransmission1174_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1174,LQHtransmission154,
LQHtransmission677_to_LQHtransmission1087_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1087,LQHtransmission677,
LQHtransmission2328_to_LQHtransmission2036_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission2036,LQHtransmission2328,
LQHtransmission2036_to_LQHtransmission1728_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1728,LQHtransmission2036,
LQHtransmission1728_to_LQHtransmission1516_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1516,LQHtransmission1728,
LQHtransmission1516_to_LQHtransmission177_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission177,LQHtransmission1516,
LQHtransmission2117_to_LQHtransmission997_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission997,LQHtransmission2117,
LQHtransmission997_to_LQHtransmission702_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission702,LQHtransmission997,
LQHtransmission702_to_LQHtransmission1524_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1524,LQHtransmission702,
LQHtransmission1524_to_LQHtransmission1248_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1248,LQHtransmission1524,
LQHtransmission1248_to_LQHtransmission1289_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1289,LQHtransmission1248,
LQHtransmission1289_to_LQHtransmission623_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission623,LQHtransmission1289,
LQHtransmission623_to_LQHtransmission2510_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission2510,LQHtransmission623,
LQHtransmission2510_to_LQHtransmission1063_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1063,LQHtransmission2510,
LQHtransmission1063_to_LQHtransmission119_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission119,LQHtransmission1063,
LQHtransmission119_to_LQHtransmission1585_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1585,LQHtransmission119,
LQHtransmission1585_to_LQHtransmission261_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission261,LQHtransmission1585,
LQHtransmission261_to_LQHtransmission1525_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1525,LQHtransmission261,
LQHtransmission1525_to_LQHtransmission1727_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1727,LQHtransmission1525,
LQHtransmission1727_to_LQHtransmission2151_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission2151,LQHtransmission1727,
