techs,cost_flow_cap_per_distance
LQHtransmission621_to_LQHtransmission1849_heat,100
LQHtransmission1849_to_LQHtransmission1725_heat,100
LQHtransmission1725_to_LQHtransmission641_heat,100
LQHtransmission641_to_LQHtransmission1872_heat,100
LQHtransmission1872_to_LQHtransmission1709_heat,100
LQHtransmission1709_to_LQHtransmission966_heat,100
LQHtransmission966_to_LQHtransmission1810_heat,100
LQHtransmission1810_to_LQHtransmission1056_heat,100
LQHtransmission1056_to_LQHtransmission958_heat,100
LQHtransmission958_to_LQHtransmission657_heat,100
LQHtransmission657_to_LQHtransmission1479_heat,100
LQHtransmission1479_to_LQHtransmission690_heat,100
LQHtransmission690_to_LQHtransmission1683_heat,100
LQHtransmission1683_to_LQHtransmission584_heat,100
LQHtransmission584_to_LQHtransmission467_heat,100
LQHtransmission467_to_LQHtransmission1651_heat,100
LQHtransmission1651_to_LQHtransmission922_heat,100
LQHtransmission922_to_LQHtransmission1761_heat,100
LQHtransmission1761_to_LQHtransmission1004_heat,100
LQHtransmission1004_to_LQHtransmission889_heat,100
LQHtransmission889_to_LQHtransmission592_heat,100
LQHtransmission592_to_LQHtransmission717_heat,100
LQHtransmission717_to_LQHtransmission835_heat,100
LQHtransmission835_to_LQHtransmission611_heat,100
LQHtransmission611_to_LQHtransmission1941_heat,100
LQHtransmission1941_to_LQHtransmission1909_heat,100
LQHtransmission1909_to_LQHtransmission1263_heat,100
LQHtransmission1263_to_LQHtransmission640_heat,100
LQHtransmission640_to_LQHtransmission607_heat,100
LQHtransmission607_to_LQHtransmission350_heat,100
LQHtransmission350_to_LQHtransmission369_heat,100
LQHtransmission369_to_LQHtransmission602_heat,100
LQHtransmission602_to_LQHtransmission370_heat,100
LQHtransmission370_to_LQHtransmission429_heat,100
LQHtransmission2024_to_LQHtransmission830_heat,100
LQHtransmission830_to_LQHtransmission562_heat,100
LQHtransmission562_to_LQHtransmission1322_heat,100
LQHtransmission1322_to_LQHtransmission90_heat,100
LQHtransmission90_to_LQHtransmission1285_heat,100
LQHtransmission1285_to_LQHtransmission1342_heat,100
LQHtransmission1342_to_LQHtransmission1461_heat,100
LQHtransmission1461_to_LQHtransmission1111_heat,100
LQHtransmission1111_to_LQHtransmission536_heat,100
LQHtransmission536_to_LQHtransmission397_heat,100
LQHtransmission397_to_LQHtransmission1802_heat,100
LQHtransmission1802_to_LQHtransmission1598_heat,100
LQHtransmission1598_to_LQHtransmission589_heat,100
LQHtransmission589_to_LQHtransmission634_heat,100
LQHtransmission634_to_LQHtransmission1847_heat,100
LQHtransmission1847_to_LQHtransmission1209_heat,100
LQHtransmission1209_to_LQHtransmission1382_heat,100
LQHtransmission1382_to_LQHtransmission1444_heat,100
LQHtransmission1444_to_LQHtransmission429_heat,100
LQHtransmission198_to_LQHtransmission2038_heat,100
LQHtransmission2038_to_LQHtransmission544_heat,100
LQHtransmission544_to_LQHtransmission1587_heat,100
LQHtransmission1587_to_LQHtransmission127_heat,100
LQHtransmission127_to_LQHtransmission913_heat,100
LQHtransmission913_to_LQHtransmission808_heat,100
LQHtransmission808_to_LQHtransmission1404_heat,100
LQHtransmission1404_to_LQHtransmission785_heat,100
LQHtransmission785_to_LQHtransmission149_heat,100
LQHtransmission149_to_LQHtransmission1918_heat,100
LQHtransmission1918_to_LQHtransmission1989_heat,100
LQHtransmission1989_to_LQHtransmission866_heat,100
LQHtransmission866_to_LQHtransmission1040_heat,100
LQHtransmission1040_to_LQHtransmission1508_heat,100
LQHtransmission1508_to_LQHtransmission1704_heat,100
LQHtransmission1704_to_LQHtransmission1767_heat,100
LQHtransmission1767_to_LQHtransmission2048_heat,100
LQHtransmission2048_to_LQHtransmission656_heat,100
LQHtransmission656_to_LQHtransmission259_heat,100
LQHtransmission259_to_LQHtransmission450_heat,100
LQHtransmission450_to_LQHtransmission1597_heat,100
LQHtransmission1597_to_LQHtransmission1656_heat,100
LQHtransmission1656_to_LQHtransmission1520_heat,100
LQHtransmission1520_to_LQHtransmission748_heat,100
LQHtransmission748_to_LQHtransmission1830_heat,100
LQHtransmission1830_to_LQHtransmission1353_heat,100
LQHtransmission1353_to_LQHtransmission701_heat,100
LQHtransmission701_to_LQHtransmission428_heat,100
LQHtransmission428_to_LQHtransmission1485_heat,100
LQHtransmission1485_to_LQHtransmission427_heat,100
LQHtransmission427_to_LQHtransmission1031_heat,100
LQHtransmission1031_to_LQHtransmission614_heat,100
LQHtransmission614_to_LQHtransmission1975_heat,100
LQHtransmission1975_to_LQHtransmission628_heat,100
LQHtransmission628_to_LQHtransmission1195_heat,100
LQHtransmission1195_to_LQHtransmission81_heat,100
LQHtransmission81_to_LQHtransmission526_heat,100
LQHtransmission526_to_LQHtransmission833_heat,100
LQHtransmission833_to_LQHtransmission927_heat,100
LQHtransmission927_to_LQHtransmission1986_heat,100
LQHtransmission1986_to_LQHtransmission718_heat,100
LQHtransmission718_to_LQHtransmission1833_heat,100
LQHtransmission1833_to_LQHtransmission868_heat,100
LQHtransmission868_to_LQHtransmission969_heat,100
LQHtransmission969_to_LQHtransmission1499_heat,100
LQHtransmission1499_to_LQHtransmission631_heat,100
LQHtransmission631_to_LQHtransmission1652_heat,100
LQHtransmission1652_to_LQHtransmission1740_heat,100
LQHtransmission1740_to_LQHtransmission520_heat,100
LQHtransmission520_to_LQHtransmission1659_heat,100
LQHtransmission1355_to_LQHtransmission588_heat,100
LQHtransmission588_to_LQHtransmission251_heat,100
LQHtransmission251_to_LQHtransmission772_heat,100
LQHtransmission772_to_LQHtransmission1251_heat,100
LQHtransmission1251_to_LQHtransmission1734_heat,100
LQHtransmission1734_to_LQHtransmission2047_heat,100
LQHtransmission2047_to_LQHtransmission349_heat,100
LQHtransmission349_to_LQHtransmission648_heat,100
LQHtransmission648_to_LQHtransmission532_heat,100
LQHtransmission532_to_LQHtransmission1626_heat,100
LQHtransmission1626_to_LQHtransmission850_heat,100
LQHtransmission850_to_LQHtransmission2053_heat,100
LQHtransmission2053_to_LQHtransmission1205_heat,100
LQHtransmission1205_to_LQHtransmission413_heat,100
LQHtransmission413_to_LQHtransmission281_heat,100
LQHtransmission281_to_LQHtransmission1476_heat,100
LQHtransmission1476_to_LQHtransmission697_heat,100
LQHtransmission697_to_LQHtransmission126_heat,100
LQHtransmission126_to_LQHtransmission1755_heat,100
LQHtransmission1755_to_LQHtransmission323_heat,100
LQHtransmission323_to_LQHtransmission186_heat,100
LQHtransmission186_to_LQHtransmission1397_heat,100
LQHtransmission1397_to_LQHtransmission55_heat,100
LQHtransmission55_to_LQHtransmission1736_heat,100
LQHtransmission1736_to_LQHtransmission71_heat,100
LQHtransmission71_to_LQHtransmission780_heat,100
LQHtransmission780_to_LQHtransmission1078_heat,100
LQHtransmission1078_to_LQHtransmission843_heat,100
LQHtransmission843_to_LQHtransmission25_heat,100
LQHtransmission25_to_LQHtransmission1930_heat,100
LQHtransmission1930_to_LQHtransmission597_heat,100
LQHtransmission597_to_LQHtransmission739_heat,100
LQHtransmission739_to_LQHtransmission621_heat,100
LQHtransmission621_to_LQHtransmission860_heat,100
LQHtransmission860_to_LQHtransmission1123_heat,100
LQHtransmission1123_to_LQHtransmission1066_heat,100
LQHtransmission1066_to_LQHtransmission1336_heat,100
LQHtransmission1336_to_LQHtransmission1280_heat,100
