id,Warmtevraag per m2,Warmtevraag,Bouwjaar
0503100000015290,67336.58112650373,7664923.02962992,1967
0503100000015291,66821.9385726482,7606341.267724544,1966
0503100000015292,76038.41140031406,8655452.36969775,1966
0503100000015293,67707.29088441332,7707120.9213727685,1967
0503100000015294,76638.88535704673,8723804.32019263,1967
0503100000015295,76401.34187382863,8696764.745497912,1967
0503100000015297,80596.41385285581,9174289.788870577,1966
0503100000015298,69801.08156251411,7945457.114260981,1966
0503100000015299,80214.04365635141,9273545.587110786,1967
0503100000015300,80004.44584485995,9106906.070520408,1966
0503100000015304,72485.46052321192,8251019.971357212,1966
0503100000015305,78172.73185963664,8898402.067582438,1966
0503100000015306,69815.04515283451,7947046.589747153,1966
0503100000015307,75926.24032705139,8642683.93642826,1967
0503100000015312,75917.45366825626,8641683.75105761,1966
0503100000015314,86986.05963359005,10056458.354239345,1966
0503100000015316,81165.03403738412,9239015.824475434,1966
0503100000015317,74313.75661179167,8459134.915120246,1966
0503100000015318,94883.5174482442,10969483.452191511,1966
0503100000015402,86630.46269575976,10015347.792256786,1966
0503100000015404,82114.37486399393,9493242.878026338,1966
0503100000015405,77674.65229918425,8979966.552308692,1966
0503100000015406,88011.6077161912,10175021.968068864,1966
0503100000015408,83369.67923400817,9489970.58720715,1966
0503100000015409,73898.99915417464,8411923.073719699,1966
0503100000015410,75677.15045095264,8614330.03583194,1966
0503100000015412,67489.92260673654,7682377.890324821,1966
0503100000015413,77909.83352746691,8868476.350431558,1966
0503100000015414,87223.22931764433,10083877.541412862,1966
0503100000015415,80884.84077257592,9207121.425142316,1966
0503100000015416,73188.45286737362,8331041.58989314,1966
0503100000015418,75830.46599130545,8631781.9437903,1966
0503100000015420,68588.68805183357,7807450.360940214,1966
0503100000015424,69118.47960335674,7867756.533250097,1966
0503100000015425,73615.07246752972,8379603.698978908,1966
0503100000015428,78885.79502957009,8979570.048215963,1966
0503100000015431,78018.86228599459,8880887.094014764,1966
0503100000015432,89683.52200876168,10368311.979432937,1966
0503100000018688,1002625.0497545868,745953037.0174125,1967
0503100000018691,81904.71445519992,9469004.038165662,1966
0503100000018692,88433.60333087573,10223808.881082544,1966
0503100000018693,81765.27240803123,9452883.14309249,1966
0503100000018694,68992.29278144706,7853392.687312119,1966
0503100000018695,79367.89377677864,9034447.348610712,1966
0503100000018698,73808.24557312983,8401592.593589367,1966
0503100000018699,70462.43798349756,8020739.315661527,1966
0503100000018700,80946.18983208247,9358189.006487055,1966
0503100000018701,78975.53716884383,8989785.395929493,1966
0503100000018704,60918.194646109856,6934318.096566685,1966
0503100000018705,70115.57341543373,7981255.721878821,1966
0503100000018706,78439.5409837769,9068395.333134446,1966
0503100000018707,85673.45289579048,9904707.889282338,1966
0503100000018708,112648.66467015812,389313785.1000665,1966
0503100000018710,73639.86621084344,8382425.970780307,1966
0503100000018711,70793.18025020817,8058387.7078811955,1966
0503100000018712,77945.90489739634,9011326.06518799,1966
0503100000018785,88538.37518051671,10235921.554619538,1966
0503100000018786,78043.72110738659,9022634.597224964,1966
0503100000018787,87251.81087886773,10087181.855705898,1966
0503100000018788,82978.26180852187,9593116.847683214,1966
0503100000018789,83306.17872000921,9482742.323698647,1966
0503100000018790,75494.9054294506,8593585.085034363,1966
0503100000018791,77331.8597660169,8940336.307549214,1966
0503100000018792,72628.89434443349,8267347.043226864,1966
0503100000018793,88185.14840872148,10195085.00753229,1966
0503100000018794,93037.38799233311,10756052.425793631,1966
0503100000018795,75439.05119679307,8587227.197730955,1966
0503100000018796,69772.7050632669,7942227.01735167,1966
0503100000018797,74721.02695913252,8638497.92674531,1966
0503100000018798,78921.50641237084,8983635.074920174,1966
0503100000018799,73997.72276172203,8423160.781966818,1966
0503100000018800,70092.90059886854,7978674.875169206,1966
0503100000018801,79752.08214660929,9078179.510748535,1966
0503100000018802,73852.88233353783,8406673.59602661,1966
0503100000018803,91198.09382685485,10543411.627322689,1966
0503100000018804,90465.481335801,10458714.297231954,1966
0503100000018805,65620.66858798543,7469600.7053703815,1966
0503100000018806,69507.32131990192,7912018.385844436,1966
0503100000018807,97523.87076460486,11274734.699095968,1966
0503100000018808,77706.91356370905,8845377.970957002,1966
0503100000018809,85698.01406963832,9907547.406590886,1966
0503100000018810,83458.2620942058,9648609.680711132,1966
0503100000018811,76569.28367841271,8715881.561113719,1966
0503100000018812,75242.59555227922,8564864.651715944,1966
0503100000018813,76942.73287035267,8895349.347141473,1966
0503100000018814,72793.73126078349,8286110.429414984,1966
0503100000018815,69763.26744518454,7941152.733285356,1966
0503100000018879,90326.99341309733,10442703.708488181,1966
0503100000018880,64456.33558326283,7337064.679442808,1966
0503100000018881,82305.16510149064,9368796.94350268,1966
0503100000018882,78860.65312944929,8976708.145725213,1966
0503100000018883,84660.18589266253,9636868.960161775,1966
0503100000018884,79033.48296743279,8996381.366182875,1966
0503100000018892,64204.49302257818,7308397.440760074,1966
0503100000018893,72396.03229873635,8240840.356565158,1966
0503100000018894,68890.70773271025,7841829.261214407,1966
0503100000018895,76179.62284120478,8671526.468014339,1966
0503100000018896,65026.01671063121,7401911.48217115,1966
0503100000018897,68819.21619272236,7833691.379217587,1966
0503100000018899,70263.47026124573,7998090.819837601,1966
0503100000018900,77427.79767731526,8813606.209608797,1966
0503100000018901,76897.870950706,8753284.650318863,1966
0503100000018902,71490.44183566929,8137756.994154235,1966
0503100000018903,84417.1430642012,9759465.9096523,1966
0503100000018904,64823.189218004336,7378823.628685433,1966
0503100000018905,81799.56305154049,9311244.262156853,1966
0503100000018906,75471.2872701298,8590896.629958875,1966
0503100000018907,80543.74235316941,9311662.053449916,1966
0503100000018908,66246.72773446194,7540865.018013801,1966
0503100000018909,82165.235837005,9352868.79532628,1966
0503100000018910,73546.71283894214,8371822.322456784,1966
0503100000018911,68069.21576462041,7748318.830486742,1966
0503100000018912,86676.81249734538,10020706.2928181,1966
0503100000018979,90582.18139477263,10472205.991049664,1966
0503100000018980,78458.37082737905,8930916.351280557,1966
0503100000018981,91136.33934377153,10536272.191533426,1966
0503100000018982,69386.7203053954,7898290.3723631585,1966
0503100000018983,77958.46216170001,8874011.747866312,1966
0503100000018984,69885.40964868446,7955056.180309752,1966
0503100000018985,83744.39259806366,9681689.22826214,1966
0503100000018986,78711.96923625465,8959783.458162867,1966
0503100000018987,73983.41644234027,8421532.293631593,1966
0503100000018988,76580.59992283837,8717169.689216692,1966
0503100000018989,92972.2884784257,10748526.270990796,1966
0503100000018990,82126.80969667147,9494680.469032189,1966
0503100000019096,81346.06152399891,9404418.172789514,1966
0503100000019098,90552.4827713449,10468772.533195185,1966
0503100000019099,73032.19470931333,8313254.723761138,1966
0503100000019100,81064.10402634404,9371821.066485634,1966
0503100000019102,82766.539413228,9568639.62156329,1966
0503100000019103,82719.00850092917,9415904.737660768,1966
0503100000019104,71953.70349278323,8190490.068583515,1966
0503100000019105,76328.8660676437,8688514.824479882,1966
0503100000019106,69044.98228672719,7859390.333698155,1966
0503100000019107,82052.63727319539,9486105.395154119,1966
0503100000019108,73236.18448936671,8336474.880424612,1966
0503100000019109,68018.40816007358,7742535.400861176,1966
0503100000019110,75204.05353542128,8560477.413937004,1966
0503100000019111,86389.19442879091,9833682.00182927,1966
0503100000019112,76912.1811870294,8754913.584519558,1966
0503100000019113,90588.60531182897,10472948.660100548,1966
0503100000019114,69772.42918415391,7942195.61403224,1966
0503100000019115,90286.1454238578,10437981.2724522,1966
0503100000019116,75556.60350446272,8600608.176912991,1966
0503100000019117,76870.17398200222,8750131.904371312,1966
0503100000019194,69589.12093087456,7921329.635561451,1966
0503100000019195,75853.31785628226,8634383.171580609,1966
0503100000019196,77367.21481977736,8806710.062935257,1966
0503100000019197,82020.5456017486,9482395.277018156,1966
0503100000019198,68796.67406942137,7831125.409322234,1966
0503100000019223,77733.7157808937,8986794.88142912,1966
0503100000019224,64286.602469693134,7317743.95912517,1966
0503100000019225,76935.06160975395,8757518.063038291,1966
0503100000019226,69492.23338651341,7910300.926386822,1966
0503100000019427,88268.82310745423,10204758.639452783,1966
0503100000019429,86005.64995883715,9943113.191741163,1966
0503100000019430,78696.55851577636,8958029.255850822,1966
0503100000019431,72902.68830446705,8298513.009697485,1966
0503100000019432,82163.99670582612,9352727.745024187,1966
0503100000019433,81110.77697096506,9232839.742604952,1966
0503100000019435,71615.17003052054,8151954.804574153,1966
0503100000019436,65996.33213885936,7512362.487366362,1966
0503100000019437,77649.1345659299,8838800.9876398,1966
0503100000019438,75694.21900435461,8616272.949265685,1966
0503100000019439,97670.51870947402,11291688.668002293,1966
0503100000019440,80456.43909304465,9301568.923546892,1966
0503100000019441,76372.81769120636,8693517.83779002,1966
0503100000019442,62215.34313470906,7081972.509023932,1966
0503100000019443,81223.5079409068,9390249.753048236,1966
0503100000019444,86694.77203745209,10022782.595249835,1966
0503100000019513,75447.25127093964,8588160.61217106,1966
0503100000019514,71560.43419419888,8145724.224325659,1966
0503100000019515,82895.18490962361,9583512.327401586,1966
0503100000019516,74422.92474534879,8471561.523763053,1966
0503100000019517,71289.98739494417,8114939.265166494,1966
0503100000019518,74791.64739938246,8513533.223471705,1966
0503100000019519,84785.00911126699,9801994.903353577,1966
0503100000019520,66646.57976503002,7586380.174653368,1966
0503100000019534,86918.30420523258,10048625.149166938,1966
0503100000019535,75802.04988903491,8628547.338868843,1966
0503100000019536,77622.17050643737,8835731.668747766,1966
0503100000019537,81615.82413318267,9290329.261080183,1966
0503100000019538,74453.46928714083,8475038.40895524,1966
0503100000019539,87636.36963602561,10131640.693620922,1966
0503100000019619,88736.30948324637,10258804.739358112,1966
0503100000019620,77502.78858326405,8822142.424432946,1966
0503100000019621,86319.78316156089,9825780.917280477,1966
0503100000019622,67192.65128521547,7648539.495796076,1966
0503100000019623,65726.13824908495,7481606.316893339,1966
0503100000019624,65895.33656379813,7500866.161057142,1966
0503100000019625,86097.07548837872,9953682.897211464,1966
0503100000019626,79086.48888327004,9143188.979794849,1966
0503100000019627,64332.26876142012,7322942.1531124525,1966
0503100000019628,72358.87529183764,8236610.7744698785,1966
0503100000019629,87152.75410446893,10075729.902017653,1966
0503100000019630,93874.69895113326,10852853.945740517,1966
0503100000019631,79588.71105016272,9059582.978840021,1966
0503100000019632,67842.82374716601,7722548.627139906,1966
0503100000019939,68152.28939307976,7757775.101614269,1966
0503100000019940,77991.78971479944,8877805.42323562,1966
0503100000019941,65970.04746058348,7509370.502438217,1966
0503100000019942,65362.19349551783,7440178.485594794,1966
0503100000019943,78936.88654748892,8985385.795700664,1966
0503100000019944,89788.24848168355,10380419.406967435,1966
0503100000019945,84177.26143786673,9581897.66947237,1966
0503100000019946,69330.23781600835,7891860.97059623,1966
0503100000019947,72420.67440180675,8243645.367157662,1966
0503100000019950,86031.07546093583,9946052.634038791,1966
0503100000019951,78204.0345119557,8901965.248495918,1966
0503100000019952,65521.44280825251,7458305.834863383,1966
0503100000019953,79555.28045191885,9055777.573841922,1966
0503100000020024,76778.99575858355,8739753.087199565,1966
0503100000020025,65657.13948892229,7473752.188024024,1966
0503100000020026,69683.44557419873,7932066.609711042,1966
0503100000020027,91295.43251250198,10554664.952770354,1967
0503100000020028,87534.41590740078,10119853.823054604,1966
0503100000020030,95864.65223830554,11082912.445270503,1966
0503100000020032,93713.67149780768,10834237.561861545,1966
0503100000020033,66075.49079791109,7521373.117526219,1966
0503100000020034,62012.6138901649,7058895.839117471,1966
0503100000020035,80370.4339999224,9148566.502211167,1966
0503100000020036,61770.98984603163,7031391.77417378,1966
0503100000020037,82692.48544233888,9412885.617901433,1966
0503100000020038,66554.12945679639,7575856.556067133,1966
0503100000020039,82798.32324226391,9572314.15003813,1966
0503100000020040,68389.53342197253,7784780.589423134,1966
0503100000020041,76426.85912248724,8699669.373912722,1966
0503100000020042,63531.23770864464,7231760.78837502,1966
0503100000020043,82482.26670554258,9535774.853827778,1966
0503100000020044,71423.28067689622,8130112.039451096,1966
0503100000020045,80694.17425325743,9329053.48541909,1966
0503100000020046,79862.24433817262,9090719.27301419,1966
0503100000020047,69553.30045816803,7917252.1911532665,1966
0503100000020048,83707.53543986166,9677428.172202406,1966
0503100000020049,77400.60821611584,8948284.315865152,1966
0503100000020050,68338.75752047986,7779000.768556222,1966
0503100000020051,72760.36548884826,8282312.403595597,1966
0503100000020052,86408.19180131088,9989651.054149551,1966
0503100000020053,76249.90262144542,8679526.415399132,1966
0503100000020054,63162.49540142138,7189786.851543795,1966
0503100000020055,83808.38128604842,9689086.960480057,1966
0503100000020056,83633.17696394508,9668831.588801691,1966
0503100000020131,82646.19753596022,9554726.897132361,1966
0503100000020132,70340.97045045203,8006912.666374955,1966
