id,Warmtevraag,share,Peak heat demand (kW),lon,lat,addresses,nr_addresses,year_construction
0503100000013849,12878619.4060447,0.0015807330108234495,8.20555016578152,84386.887,445696.5631428571,Aagje Dekenlaan 14,1,1966
0503100000013850,10953420.274027029,0.001344432385388349,6.978918835293143,84392.671,445678.3608,Aagje Dekenlaan 20,1,1966
0503100000013851,12030122.452877149,0.0014765877526115687,7.664934429326008,84396.539,445666.7136,Aagje Dekenlaan 24,1,1966
0503100000013852,11527238.293360401,0.0014148633109998209,7.344524215436563,84411.51699999999,445735.2768,Aagje Dekenlaan 35,1,1966
0503100000013853,11437444.37785276,0.0014038419272676952,7.287312455771231,84428.95479999999,445690.2584,Staringpad 6,1,1966
0503100000013854,10472419.335914325,0.0012853939095129826,6.672451410250732,84388.8424,445689.8892,Aagje Dekenlaan 16,1,1966
0503100000013855,11317773.38323479,0.001389153404712093,7.211064659422359,84413.1144,445730.45879999996,Aagje Dekenlaan 37,1,1966
0503100000013864,11336741.992363421,0.0013914816283883795,7.223150417132307,84454.4192,445632.16780000005,Betje Wolfflaan 30,1,1966
0503100000013866,10875814.582962818,0.0013349069949854472,6.92947274397697,84499.4696,445632.671,Betje Wolfflaan 46,1,1966
0503100000013867,12029181.855135882,0.0014764723028220649,7.664335132017154,84464.10819999999,445635.38279999996,Betje Wolfflaan 34,1,1966
0503100000013868,10755643.862178745,0.0013201571356031075,6.852906549514464,84494.6252,445631.0712,Betje Wolfflaan 44,1,1966
0503100000013869,12143244.67230029,0.001490472472771545,7.737009705182475,84469.91542857143,445637.009,Betje Wolfflaan 36,1,1966
0503100000013870,10044156.460629657,0.0012328285495991009,6.399585787275586,84484.93539999999,445627.8718,Betje Wolfflaan 40,1,1966
0503100000013871,11648058.64472151,0.0014296929066074178,7.421504318884266,84489.78020000001,445629.4714,Betje Wolfflaan 42,1,1966
0503100000013872,11547743.333761686,0.0014173801175944288,7.357588902912701,84487.9936,445668.178,Betje Wolfflaan 13,1,1966
0503100000013873,14535575.201485354,0.0017841092144947005,9.261271549673742,84489.60560000001,445663.2946,Betje Wolfflaan 15,1,1966
0503100000013875,12560122.660281371,0.0015416404416594262,8.002621502187928,84478.3936,445697.262,Betje Wolfflaan 1,1,1966
0503100000013876,11232768.484402807,0.0013787198290756894,7.156904198606533,84483.2056,445682.68379999994,Betje Wolfflaan 7,1,1966
0503100000013877,11175312.582388602,0.0013716676414058013,7.120296448083485,84480.01359999999,445692.3538,Betje Wolfflaan 3,1,1966
0503100000013878,10189341.76514475,0.0012506487208688369,6.492089902970914,84481.6096,445687.5188,Betje Wolfflaan 5,1,1966
0503100000013880,10103921.161232328,0.001240164121227243,6.43766457767046,84484.8016,445677.8488,Betje Wolfflaan 9,1,1966
0503100000013881,11414013.620337343,0.0014009660155953744,7.272383661763639,84486.3976,445673.01339999994,Betje Wolfflaan 11,1,1966
0503100000014645,11908247.066034773,0.0014616286610261617,7.587282115116012,84335.8826,445506.96880000003,Herman Gorterhof 157,1,1967
0503100000014648,9875522.106914476,0.001212130221519668,6.292141223114105,84327.26759999999,445529.76279999997,Herman Gorterhof 161,1,1967
0503100000014649,10211008.405041594,0.0012533081032015806,6.505894697956473,84329.41780000001,445524.0738,Herman Gorterhof 160,1,1967
0503100000014654,13650146.494904788,0.0016754309205647094,8.697124924868616,84341.633,445490.7138,Herman Heyermanslaan 1,1,1967
0503100000014719,10473575.56757541,0.0012855358263984197,6.6731880976703355,84333.71119999999,445512.7142,Herman Gorterhof 158,1,1967
0503100000014723,10757907.013025673,0.001320434916717637,6.854348505148193,84331.56659999999,445518.3888,Herman Gorterhof 159,1,1967
0503100000014725,14283663.556928735,0.0017531893588947616,9.100767261785268,84313.8058,445564.29240000003,Nicolaas Beetslaan 2,1,1967
0503100000014726,11895489.925486948,0.0014600628384366537,7.5791539646181425,84336.6542,445572.91380000004,Nicolaas Beetslaan 10,1,1967
0503100000014729,10230525.455209129,0.0012557036430107032,6.518329892226023,84319.56539999999,445566.46559999994,Nicolaas Beetslaan 4,1,1967
0503100000014731,11263719.461469948,0.0013825187790737232,7.176624464187578,84330.9732,445570.7704,Nicolaas Beetslaan 8,1,1967
0503100000014733,10188968.454527566,0.001250602900397149,6.491852049913832,84261.79060000001,445743.6438,Willem Bilderdijkhof 160,1,1967
0503100000014739,9917926.573949395,0.0012173349828947116,6.319159024521058,84295.7132,445717.709,Potgieterlaan 9,1,1967
0503100000014741,13013133.204664845,0.001597243352125276,8.291254983026867,84272.5496,445710.08959999995,Potgieterlaan 1,1,1967
0503100000014744,10199579.977010794,0.0012519053679486368,6.498613130222688,84284.17480000001,445713.91380000004,Potgieterlaan 5,1,1967
0503100000014745,10104802.544089884,0.0012402723029301247,6.438226146502096,84289.93960000001,445715.80999999994,Potgieterlaan 7,1,1967
0503100000014747,10350179.192432083,0.001270390047378546,6.594566693108995,84263.7032,445737.87980000005,Willem Bilderdijkhof 159,1,1967
