techs,color,name,base_tech,flow_cap_max,flow_out_eff_per_distance,lifetime,link_to,link_from
LQHtransmission1005_to_LQHtransmission40_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission40,LQHtransmission1005
LQHtransmission40_to_LQHtransmission563_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission563,LQHtransmission40
LQHtransmission563_to_LQHtransmission29_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission29,LQHtransmission563
LQHtransmission29_to_LQHtransmission190_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission190,LQHtransmission29
LQHtransmission190_to_LQHtransmission740_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission740,LQHtransmission190
LQHtransmission740_to_LQHtransmission1017_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1017,LQHtransmission740
LQHtransmission1017_to_LQHtransmission230_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission230,LQHtransmission1017
LQHtransmission230_to_LQHtransmission2_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission2,LQHtransmission230
LQHtransmission2_to_LQHtransmission404_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission404,LQHtransmission2
LQHtransmission404_to_LQHtransmission574_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission574,LQHtransmission404
LQHtransmission574_to_LQHtransmission527_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission527,LQHtransmission574
LQHtransmission527_to_LQHtransmission382_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission382,LQHtransmission527
LQHtransmission382_to_LQHtransmission215_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission215,LQHtransmission382
LQHtransmission215_to_LQHtransmission448_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission448,LQHtransmission215
LQHtransmission448_to_LQHtransmission25_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission25,LQHtransmission448
LQHtransmission25_to_LQHtransmission779_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission779,LQHtransmission25
LQHtransmission779_to_LQHtransmission702_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission702,LQHtransmission779
