techs,color,name,base_tech,flow_cap_max,flow_out_eff_per_distance,lifetime,link_to,link_from
transmission922_to_transmission1397_electricity,#3186cc,LV electricity distribution,transmission,10000,0.99,20,transmission1397,transmission922
transmission1397_to_transmission520_heat,#823740,LQ heat distribution,transmission,10000,0.99,20,transmission520,transmission1397
transmission1397_to_transmission520_electricity,#3186cc,LV electricity distribution,transmission,10000,0.99,20,transmission520,transmission1397
transmission520_to_transmission3357_heat,#823740,LQ heat distribution,transmission,10000,0.99,20,transmission3357,transmission520
transmission520_to_transmission3357_electricity,#3186cc,LV electricity distribution,transmission,10000,0.99,20,transmission3357,transmission520
transmission3357_to_transmission1584_heat,#823740,LQ heat distribution,transmission,10000,0.99,20,transmission1584,transmission3357
transmission3357_to_transmission1584_electricity,#3186cc,LV electricity distribution,transmission,10000,0.99,20,transmission1584,transmission3357
transmission1584_to_transmission2950_heat,#823740,LQ heat distribution,transmission,10000,0.99,20,transmission2950,transmission1584
transmission1584_to_transmission2950_electricity,#3186cc,LV electricity distribution,transmission,10000,0.99,20,transmission2950,transmission1584
transmission2950_to_transmission2128_heat,#823740,LQ heat distribution,transmission,10000,0.99,20,transmission2128,transmission2950
transmission2950_to_transmission2128_electricity,#3186cc,LV electricity distribution,transmission,10000,0.99,20,transmission2128,transmission2950
transmission2128_to_transmission585_heat,#823740,LQ heat distribution,transmission,10000,0.99,20,transmission585,transmission2128
transmission2128_to_transmission585_electricity,#3186cc,LV electricity distribution,transmission,10000,0.99,20,transmission585,transmission2128
transmission585_to_transmission3413_heat,#823740,LQ heat distribution,transmission,10000,0.99,20,transmission3413,transmission585
transmission585_to_transmission3413_electricity,#3186cc,LV electricity distribution,transmission,10000,0.99,20,transmission3413,transmission585
transmission3413_to_transmission1657_heat,#823740,LQ heat distribution,transmission,10000,0.99,20,transmission1657,transmission3413
transmission3413_to_transmission1657_electricity,#3186cc,LV electricity distribution,transmission,10000,0.99,20,transmission1657,transmission3413
transmission1657_to_transmission3031_heat,#823740,LQ heat distribution,transmission,10000,0.99,20,transmission3031,transmission1657
transmission1657_to_transmission3031_electricity,#3186cc,LV electricity distribution,transmission,10000,0.99,20,transmission3031,transmission1657
transmission2181_to_transmission2637_heat,#823740,LQ heat distribution,transmission,10000,0.99,20,transmission2637,transmission2181
transmission2181_to_transmission2637_electricity,#3186cc,LV electricity distribution,transmission,10000,0.99,20,transmission2637,transmission2181
transmission2637_to_transmission588_heat,#823740,LQ heat distribution,transmission,10000,0.99,20,transmission588,transmission2637
transmission2637_to_transmission588_electricity,#3186cc,LV electricity distribution,transmission,10000,0.99,20,transmission588,transmission2637
transmission588_to_transmission1988_heat,#823740,LQ heat distribution,transmission,10000,0.99,20,transmission1988,transmission588
transmission588_to_transmission1988_electricity,#3186cc,LV electricity distribution,transmission,10000,0.99,20,transmission1988,transmission588
transmission1988_to_transmission2481_heat,#823740,LQ heat distribution,transmission,10000,0.99,20,transmission2481,transmission1988
transmission1988_to_transmission2481_electricity,#3186cc,LV electricity distribution,transmission,10000,0.99,20,transmission2481,transmission1988
transmission2481_to_transmission1906_heat,#823740,LQ heat distribution,transmission,10000,0.99,20,transmission1906,transmission2481
transmission2481_to_transmission1906_electricity,#3186cc,LV electricity distribution,transmission,10000,0.99,20,transmission1906,transmission2481
transmission1906_to_transmission531_heat,#823740,LQ heat distribution,transmission,10000,0.99,20,transmission531,transmission1906
transmission1906_to_transmission531_electricity,#3186cc,LV electricity distribution,transmission,10000,0.99,20,transmission531,transmission1906
transmission531_to_transmission1876_heat,#823740,LQ heat distribution,transmission,10000,0.99,20,transmission1876,transmission531
transmission531_to_transmission1876_electricity,#3186cc,LV electricity distribution,transmission,10000,0.99,20,transmission1876,transmission531
transmission1876_to_transmission1505_heat,#823740,LQ heat distribution,transmission,10000,0.99,20,transmission1505,transmission1876
transmission1876_to_transmission1505_electricity,#3186cc,LV electricity distribution,transmission,10000,0.99,20,transmission1505,transmission1876
transmission1505_to_transmission3099_heat,#823740,LQ heat distribution,transmission,10000,0.99,20,transmission3099,transmission1505
transmission1505_to_transmission3099_electricity,#3186cc,LV electricity distribution,transmission,10000,0.99,20,transmission3099,transmission1505
