techs,carrier_out,carrier_in
LVEtransmission471_to_LVEtransmission450_electricity,1,1
LVEtransmission450_to_LVEtransmission621_electricity,1,1
LVEtransmission621_to_LVEtransmission638_electricity,1,1
LVEtransmission638_to_LVEtransmission151_electricity,1,1
LVEtransmission151_to_LVEtransmission216_electricity,1,1
LVEtransmission216_to_LVEtransmission387_electricity,1,1
LVEtransmission387_to_LVEtransmission706_electricity,1,1
LVEtransmission706_to_LVEtransmission625_electricity,1,1
LVEtransmission625_to_LVEtransmission334_electricity,1,1
LVEtransmission707_to_LVEtransmission713_electricity,1,1
LVEtransmission713_to_LVEtransmission883_electricity,1,1
LVEtransmission883_to_LVEtransmission177_electricity,1,1
LVEtransmission177_to_LVEtransmission932_electricity,1,1
LVEtransmission932_to_LVEtransmission17_electricity,1,1
LVEtransmission17_to_LVEtransmission833_electricity,1,1
LVEtransmission833_to_LVEtransmission116_electricity,1,1
LVEtransmission116_to_LVEtransmission301_electricity,1,1
LVEtransmission301_to_LVEtransmission326_electricity,1,1
LVEtransmission326_to_LVEtransmission265_electricity,1,1
LVEtransmission265_to_LVEtransmission247_electricity,1,1
LVEtransmission707_to_LVEtransmission705_electricity,1,1
LVEtransmission705_to_LVEtransmission423_electricity,1,1
LVEtransmission423_to_LVEtransmission751_electricity,1,1
LVEtransmission751_to_LVEtransmission605_electricity,1,1
LVEtransmission605_to_LVEtransmission227_electricity,1,1
LVEtransmission227_to_LVEtransmission183_electricity,1,1
LVEtransmission183_to_LVEtransmission509_electricity,1,1
LVEtransmission509_to_LVEtransmission270_electricity,1,1
LVEtransmission270_to_LVEtransmission74_electricity,1,1
LVEtransmission74_to_LVEtransmission813_electricity,1,1
LVEtransmission813_to_LVEtransmission763_electricity,1,1
LVEtransmission763_to_LVEtransmission406_electricity,1,1
LVEtransmission406_to_LVEtransmission888_electricity,1,1
LVEtransmission888_to_LVEtransmission279_electricity,1,1
LVEtransmission279_to_LVEtransmission304_electricity,1,1
LVEtransmission304_to_LVEtransmission526_electricity,1,1
LVEtransmission526_to_LVEtransmission531_electricity,1,1
LVEtransmission531_to_LVEtransmission658_electricity,1,1
LVEtransmission261_to_LVEtransmission159_electricity,1,1
LVEtransmission159_to_LVEtransmission862_electricity,1,1
LVEtransmission862_to_LVEtransmission60_electricity,1,1
LVEtransmission60_to_LVEtransmission817_electricity,1,1
LVEtransmission817_to_LVEtransmission232_electricity,1,1
LVEtransmission232_to_LVEtransmission651_electricity,1,1
LVEtransmission651_to_LVEtransmission936_electricity,1,1
LVEtransmission467_to_LVEtransmission514_electricity,1,1
LVEtransmission514_to_LVEtransmission462_electricity,1,1
LVEtransmission462_to_LVEtransmission446_electricity,1,1
LVEtransmission446_to_LVEtransmission488_electricity,1,1
LVEtransmission488_to_LVEtransmission567_electricity,1,1
LVEtransmission567_to_LVEtransmission186_electricity,1,1
LVEtransmission186_to_LVEtransmission147_electricity,1,1
LVEtransmission147_to_LVEtransmission795_electricity,1,1
LVEtransmission795_to_LVEtransmission38_electricity,1,1
LVEtransmission38_to_LVEtransmission664_electricity,1,1
LVEtransmission664_to_LVEtransmission622_electricity,1,1
LVEtransmission622_to_LVEtransmission247_electricity,1,1
LVEtransmission467_to_LVEtransmission261_electricity,1,1
LVEtransmission149_to_LVEtransmission934_electricity,1,1
LVEtransmission934_to_LVEtransmission366_electricity,1,1
LVEtransmission366_to_LVEtransmission11_electricity,1,1
LVEtransmission11_to_LVEtransmission871_electricity,1,1
LVEtransmission871_to_LVEtransmission689_electricity,1,1
LVEtransmission689_to_LVEtransmission494_electricity,1,1
LVEtransmission494_to_LVEtransmission47_electricity,1,1
LVEtransmission47_to_LVEtransmission897_electricity,1,1
LVEtransmission897_to_LVEtransmission858_electricity,1,1
LVEtransmission858_to_LVEtransmission723_electricity,1,1
LVEtransmission723_to_LVEtransmission211_electricity,1,1
LVEtransmission211_to_LVEtransmission802_electricity,1,1
LVEtransmission802_to_LVEtransmission755_electricity,1,1
LVEtransmission755_to_LVEtransmission501_electricity,1,1
LVEtransmission501_to_LVEtransmission352_electricity,1,1
LVEtransmission352_to_LVEtransmission657_electricity,1,1
