techs,color,name,base_tech,flow_cap_max,flow_out_eff_per_distance,lifetime,link_to,link_from
MV_LV_transformer5_to_LVEtransmission747_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission747,MV_LV_transformer5
MV_LV_transformer6_to_LVEtransmission272_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission272,MV_LV_transformer6
D0503100000000168_to_LVEtransmission826_electricity,#3186cc,LV electricity distribution secondary,transmission,100000,1,20,LVEtransmission826,D0503100000000168
D0503100000001498_to_LVEtransmission134_electricity,#3186cc,LV electricity distribution secondary,transmission,100000,1,20,LVEtransmission134,D0503100000001498
D0503100000001499_to_LVEtransmission100_electricity,#3186cc,LV electricity distribution secondary,transmission,100000,1,20,LVEtransmission100,D0503100000001499
D0503100000011458_to_LVEtransmission163_electricity,#3186cc,LV electricity distribution secondary,transmission,100000,1,20,LVEtransmission163,D0503100000011458
D0503100000011549_to_LVEtransmission134_electricity,#3186cc,LV electricity distribution secondary,transmission,100000,1,20,LVEtransmission134,D0503100000011549
D0503100000011550_to_LVEtransmission172_electricity,#3186cc,LV electricity distribution secondary,transmission,100000,1,20,LVEtransmission172,D0503100000011550
D0503100000011552_to_LVEtransmission458_electricity,#3186cc,LV electricity distribution secondary,transmission,100000,1,20,LVEtransmission458,D0503100000011552
D0503100000011553_to_LVEtransmission134_electricity,#3186cc,LV electricity distribution secondary,transmission,100000,1,20,LVEtransmission134,D0503100000011553
D0503100000011554_to_LVEtransmission73_electricity,#3186cc,LV electricity distribution secondary,transmission,100000,1,20,LVEtransmission73,D0503100000011554
D0503100000025533_to_LVEtransmission648_electricity,#3186cc,LV electricity distribution secondary,transmission,100000,1,20,LVEtransmission648,D0503100000025533
D0503100000027952_to_LVEtransmission134_electricity,#3186cc,LV electricity distribution secondary,transmission,100000,1,20,LVEtransmission134,D0503100000027952
D0503100000030049_to_LVEtransmission764_electricity,#3186cc,LV electricity distribution secondary,transmission,100000,1,20,LVEtransmission764,D0503100000030049
D0503100000030050_to_LVEtransmission13_electricity,#3186cc,LV electricity distribution secondary,transmission,100000,1,20,LVEtransmission13,D0503100000030050
D0503100000030051_to_LVEtransmission675_electricity,#3186cc,LV electricity distribution secondary,transmission,100000,1,20,LVEtransmission675,D0503100000030051
D0503100000030052_to_LVEtransmission74_electricity,#3186cc,LV electricity distribution secondary,transmission,100000,1,20,LVEtransmission74,D0503100000030052
D0503100000031080_to_LVEtransmission233_electricity,#3186cc,LV electricity distribution secondary,transmission,100000,1,20,LVEtransmission233,D0503100000031080
D0503100000031377_to_LVEtransmission551_electricity,#3186cc,LV electricity distribution secondary,transmission,100000,1,20,LVEtransmission551,D0503100000031377
D0503100000031378_to_LVEtransmission551_electricity,#3186cc,LV electricity distribution secondary,transmission,100000,1,20,LVEtransmission551,D0503100000031378
D0503100000031379_to_LVEtransmission551_electricity,#3186cc,LV electricity distribution secondary,transmission,100000,1,20,LVEtransmission551,D0503100000031379
D0503100000031380_to_LVEtransmission254_electricity,#3186cc,LV electricity distribution secondary,transmission,100000,1,20,LVEtransmission254,D0503100000031380
D0503100000031381_to_LVEtransmission242_electricity,#3186cc,LV electricity distribution secondary,transmission,100000,1,20,LVEtransmission242,D0503100000031381
D0503100000031382_to_LVEtransmission551_electricity,#3186cc,LV electricity distribution secondary,transmission,100000,1,20,LVEtransmission551,D0503100000031382
D0503100000031383_to_LVEtransmission551_electricity,#3186cc,LV electricity distribution secondary,transmission,100000,1,20,LVEtransmission551,D0503100000031383
D0503100000032908_to_LVEtransmission801_electricity,#3186cc,LV electricity distribution secondary,transmission,100000,1,20,LVEtransmission801,D0503100000032908
D0503100000033567_to_LVEtransmission140_electricity,#3186cc,LV electricity distribution secondary,transmission,100000,1,20,LVEtransmission140,D0503100000033567
D0503100000033568_to_LVEtransmission988_electricity,#3186cc,LV electricity distribution secondary,transmission,100000,1,20,LVEtransmission988,D0503100000033568
