techs,color,name,base_tech,flow_cap_max,flow_out_eff_per_distance,lifetime,link_to,link_from
LVEtransmission948_to_LVEtransmission707_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission707,LVEtransmission948
LVEtransmission707_to_LVEtransmission310_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission310,LVEtransmission707
LVEtransmission310_to_LVEtransmission434_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission434,LVEtransmission310
LVEtransmission434_to_LVEtransmission722_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission722,LVEtransmission434
LVEtransmission722_to_LVEtransmission442_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission442,LVEtransmission722
LVEtransmission442_to_LVEtransmission545_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission545,LVEtransmission442
LVEtransmission545_to_LVEtransmission839_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission839,LVEtransmission545
LVEtransmission839_to_LVEtransmission457_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission457,LVEtransmission839
LVEtransmission457_to_LVEtransmission171_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission171,LVEtransmission457
LVEtransmission171_to_LVEtransmission306_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission306,LVEtransmission171
LVEtransmission306_to_LVEtransmission893_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission893,LVEtransmission306
LVEtransmission893_to_LVEtransmission358_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission358,LVEtransmission893
LVEtransmission358_to_LVEtransmission617_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission617,LVEtransmission358
LVEtransmission617_to_LVEtransmission68_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission68,LVEtransmission617
LVEtransmission68_to_LVEtransmission480_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission480,LVEtransmission68
LVEtransmission480_to_LVEtransmission1058_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission1058,LVEtransmission480
LVEtransmission1058_to_LVEtransmission182_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission182,LVEtransmission1058
LVEtransmission182_to_LVEtransmission315_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission315,LVEtransmission182
LVEtransmission315_to_LVEtransmission322_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission322,LVEtransmission315
LVEtransmission322_to_LVEtransmission476_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission476,LVEtransmission322
LVEtransmission476_to_LVEtransmission626_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission626,LVEtransmission476
LVEtransmission626_to_LVEtransmission175_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission175,LVEtransmission626
LVEtransmission175_to_LVEtransmission311_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission311,LVEtransmission175
LVEtransmission311_to_LVEtransmission304_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission304,LVEtransmission311
LVEtransmission304_to_LVEtransmission80_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission80,LVEtransmission304
LVEtransmission80_to_LVEtransmission613_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission613,LVEtransmission80
LVEtransmission321_to_LVEtransmission27_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission27,LVEtransmission321
LVEtransmission27_to_LVEtransmission433_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission433,LVEtransmission27
LVEtransmission433_to_LVEtransmission21_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission21,LVEtransmission433
LVEtransmission21_to_LVEtransmission200_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission200,LVEtransmission21
LVEtransmission200_to_LVEtransmission749_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission749,LVEtransmission200
LVEtransmission749_to_LVEtransmission1001_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission1001,LVEtransmission749
LVEtransmission951_to_LVEtransmission918_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission918,LVEtransmission951
LVEtransmission918_to_LVEtransmission777_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission777,LVEtransmission918
LVEtransmission481_to_LVEtransmission123_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission123,LVEtransmission481
LVEtransmission123_to_LVEtransmission736_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission736,LVEtransmission123
LVEtransmission736_to_LVEtransmission165_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission165,LVEtransmission736
LVEtransmission165_to_LVEtransmission522_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission522,LVEtransmission165
LVEtransmission522_to_LVEtransmission81_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission81,LVEtransmission522
LVEtransmission81_to_LVEtransmission572_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission572,LVEtransmission81
LVEtransmission572_to_LVEtransmission130_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission130,LVEtransmission572
LVEtransmission130_to_LVEtransmission578_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission578,LVEtransmission130
LVEtransmission578_to_LVEtransmission93_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission93,LVEtransmission578
