techs,carrier_out,carrier_in
LQHtransmission657_to_LQHtransmission506_heat,1,1
LQHtransmission506_to_LQHtransmission402_heat,1,1
LQHtransmission402_to_LQHtransmission419_heat,1,1
LQHtransmission419_to_LQHtransmission515_heat,1,1
LQHtransmission515_to_LQHtransmission485_heat,1,1
LQHtransmission485_to_LQHtransmission572_heat,1,1
LQHtransmission572_to_LQHtransmission793_heat,1,1
LQHtransmission793_to_LQHtransmission681_heat,1,1
LQHtransmission389_to_LQHtransmission87_heat,1,1
LQHtransmission87_to_LQHtransmission81_heat,1,1
LQHtransmission81_to_LQHtransmission620_heat,1,1
LQHtransmission620_to_LQHtransmission367_heat,1,1
LQHtransmission367_to_LQHtransmission544_heat,1,1
LQHtransmission544_to_LQHtransmission575_heat,1,1
LQHtransmission405_to_LQHtransmission522_heat,1,1
LQHtransmission522_to_LQHtransmission502_heat,1,1
LQHtransmission428_to_LQHtransmission634_heat,1,1
LQHtransmission634_to_LQHtransmission597_heat,1,1
LQHtransmission834_to_LQHtransmission809_heat,1,1
LQHtransmission809_to_LQHtransmission137_heat,1,1
LQHtransmission590_to_LQHtransmission602_heat,1,1
LQHtransmission602_to_LQHtransmission296_heat,1,1
LQHtransmission296_to_LQHtransmission472_heat,1,1
LQHtransmission472_to_LQHtransmission579_heat,1,1
LQHtransmission579_to_LQHtransmission814_heat,1,1
LQHtransmission814_to_LQHtransmission724_heat,1,1
LQHtransmission724_to_LQHtransmission79_heat,1,1
LQHtransmission79_to_LQHtransmission449_heat,1,1
LQHtransmission449_to_LQHtransmission628_heat,1,1
LQHtransmission628_to_LQHtransmission275_heat,1,1
LQHtransmission275_to_LQHtransmission737_heat,1,1
LQHtransmission737_to_LQHtransmission319_heat,1,1
LQHtransmission319_to_LQHtransmission595_heat,1,1
LQHtransmission595_to_LQHtransmission114_heat,1,1
LQHtransmission114_to_LQHtransmission846_heat,1,1
LQHtransmission846_to_LQHtransmission2_heat,1,1
LQHtransmission2_to_LQHtransmission672_heat,1,1
LQHtransmission672_to_LQHtransmission736_heat,1,1
LQHtransmission736_to_LQHtransmission142_heat,1,1
LQHtransmission142_to_LQHtransmission65_heat,1,1
LQHtransmission65_to_LQHtransmission104_heat,1,1
LQHtransmission104_to_LQHtransmission495_heat,1,1
LQHtransmission495_to_LQHtransmission37_heat,1,1
LQHtransmission37_to_LQHtransmission69_heat,1,1
LQHtransmission69_to_LQHtransmission413_heat,1,1
LQHtransmission413_to_LQHtransmission586_heat,1,1
LQHtransmission586_to_LQHtransmission5_heat,1,1
LQHtransmission5_to_LQHtransmission140_heat,1,1
LQHtransmission140_to_LQHtransmission622_heat,1,1
LQHtransmission825_to_LQHtransmission248_heat,1,1
LQHtransmission248_to_LQHtransmission218_heat,1,1
LQHtransmission218_to_LQHtransmission757_heat,1,1
LQHtransmission757_to_LQHtransmission7_heat,1,1
LQHtransmission7_to_LQHtransmission606_heat,1,1
LQHtransmission606_to_LQHtransmission139_heat,1,1
LQHtransmission139_to_LQHtransmission56_heat,1,1
LQHtransmission56_to_LQHtransmission798_heat,1,1
LQHtransmission798_to_LQHtransmission582_heat,1,1
LQHtransmission582_to_LQHtransmission442_heat,1,1
LQHtransmission442_to_LQHtransmission22_heat,1,1
LQHtransmission22_to_LQHtransmission510_heat,1,1
LQHtransmission510_to_LQHtransmission800_heat,1,1
LQHtransmission800_to_LQHtransmission290_heat,1,1
LQHtransmission290_to_LQHtransmission10_heat,1,1
LQHtransmission10_to_LQHtransmission562_heat,1,1
LQHtransmission562_to_LQHtransmission771_heat,1,1
LQHtransmission771_to_LQHtransmission820_heat,1,1
LQHtransmission820_to_LQHtransmission774_heat,1,1
LQHtransmission774_to_LQHtransmission656_heat,1,1
LQHtransmission656_to_LQHtransmission395_heat,1,1
LQHtransmission395_to_LQHtransmission491_heat,1,1
LQHtransmission491_to_LQHtransmission581_heat,1,1
LQHtransmission581_to_LQHtransmission636_heat,1,1
LQHtransmission636_to_LQHtransmission94_heat,1,1
LQHtransmission94_to_LQHtransmission743_heat,1,1
LQHtransmission743_to_LQHtransmission835_heat,1,1
LQHtransmission835_to_LQHtransmission300_heat,1,1
LQHtransmission300_to_LQHtransmission201_heat,1,1
LQHtransmission201_to_LQHtransmission283_heat,1,1
LQHtransmission16_to_LQHtransmission553_heat,1,1
LQHtransmission553_to_LQHtransmission614_heat,1,1
LQHtransmission428_to_LQHtransmission286_heat,1,1
LQHtransmission286_to_LQHtransmission665_heat,1,1
LQHtransmission665_to_LQHtransmission487_heat,1,1
LQHtransmission487_to_LQHtransmission494_heat,1,1
LQHtransmission494_to_LQHtransmission637_heat,1,1
LQHtransmission637_to_LQHtransmission755_heat,1,1
LQHtransmission755_to_LQHtransmission848_heat,1,1
LQHtransmission848_to_LQHtransmission753_heat,1,1
LQHtransmission753_to_LQHtransmission245_heat,1,1
LQHtransmission245_to_LQHtransmission351_heat,1,1
LQHtransmission351_to_LQHtransmission254_heat,1,1
LQHtransmission254_to_LQHtransmission150_heat,1,1
LQHtransmission150_to_LQHtransmission732_heat,1,1
LQHtransmission732_to_LQHtransmission321_heat,1,1
LQHtransmission321_to_LQHtransmission783_heat,1,1
LQHtransmission783_to_LQHtransmission674_heat,1,1
LQHtransmission674_to_LQHtransmission840_heat,1,1
LQHtransmission840_to_LQHtransmission39_heat,1,1
LQHtransmission39_to_LQHtransmission468_heat,1,1
LQHtransmission468_to_LQHtransmission408_heat,1,1
LQHtransmission408_to_LQHtransmission687_heat,1,1
LQHtransmission687_to_LQHtransmission337_heat,1,1
LQHtransmission337_to_LQHtransmission378_heat,1,1
LQHtransmission378_to_LQHtransmission414_heat,1,1
LQHtransmission414_to_LQHtransmission301_heat,1,1
LQHtransmission301_to_LQHtransmission545_heat,1,1
LQHtransmission545_to_LQHtransmission38_heat,1,1
LQHtransmission38_to_LQHtransmission563_heat,1,1
LQHtransmission563_to_LQHtransmission128_heat,1,1
LQHtransmission128_to_LQHtransmission80_heat,1,1
LQHtransmission80_to_LQHtransmission430_heat,1,1
LQHtransmission430_to_LQHtransmission323_heat,1,1
LQHtransmission323_to_LQHtransmission750_heat,1,1
LQHtransmission750_to_LQHtransmission598_heat,1,1
LQHtransmission598_to_LQHtransmission768_heat,1,1
LQHtransmission768_to_LQHtransmission377_heat,1,1
LQHtransmission377_to_LQHtransmission392_heat,1,1
LQHtransmission392_to_LQHtransmission363_heat,1,1
LQHtransmission363_to_LQHtransmission281_heat,1,1
LQHtransmission281_to_LQHtransmission469_heat,1,1
LQHtransmission469_to_LQHtransmission339_heat,1,1
LQHtransmission339_to_LQHtransmission788_heat,1,1
LQHtransmission788_to_LQHtransmission272_heat,1,1
LQHtransmission272_to_LQHtransmission599_heat,1,1
LQHtransmission599_to_LQHtransmission818_heat,1,1
LQHtransmission818_to_LQHtransmission350_heat,1,1
LQHtransmission673_to_LQHtransmission285_heat,1,1
LQHtransmission285_to_LQHtransmission428_heat,1,1
LQHtransmission465_to_LQHtransmission95_heat,1,1
LQHtransmission465_to_LQHtransmission188_heat,1,1
LQHtransmission188_to_LQHtransmission695_heat,1,1
LQHtransmission695_to_LQHtransmission819_heat,1,1
LQHtransmission819_to_LQHtransmission266_heat,1,1
LQHtransmission266_to_LQHtransmission717_heat,1,1
LQHtransmission717_to_LQHtransmission246_heat,1,1
LQHtransmission246_to_LQHtransmission580_heat,1,1
LQHtransmission580_to_LQHtransmission712_heat,1,1
LQHtransmission712_to_LQHtransmission605_heat,1,1
LQHtransmission605_to_LQHtransmission314_heat,1,1
LQHtransmission314_to_LQHtransmission644_heat,1,1
LQHtransmission49_to_LQHtransmission176_heat,1,1
LQHtransmission176_to_LQHtransmission669_heat,1,1
LQHtransmission669_to_LQHtransmission53_heat,1,1
LQHtransmission558_to_LQHtransmission279_heat,1,1
LQHtransmission279_to_LQHtransmission273_heat,1,1
LQHtransmission273_to_LQHtransmission504_heat,1,1
LQHtransmission504_to_LQHtransmission289_heat,1,1
LQHtransmission289_to_LQHtransmission129_heat,1,1
LQHtransmission129_to_LQHtransmission98_heat,1,1
LQHtransmission98_to_LQHtransmission343_heat,1,1
LQHtransmission343_to_LQHtransmission488_heat,1,1
LQHtransmission488_to_LQHtransmission804_heat,1,1
LQHtransmission804_to_LQHtransmission50_heat,1,1
LQHtransmission50_to_LQHtransmission456_heat,1,1
LQHtransmission456_to_LQHtransmission28_heat,1,1
LQHtransmission28_to_LQHtransmission3_heat,1,1
LQHtransmission3_to_LQHtransmission670_heat,1,1
LQHtransmission670_to_LQHtransmission611_heat,1,1
LQHtransmission611_to_LQHtransmission735_heat,1,1
LQHtransmission735_to_LQHtransmission437_heat,1,1
LQHtransmission437_to_LQHtransmission438_heat,1,1
LQHtransmission438_to_LQHtransmission72_heat,1,1
LQHtransmission72_to_LQHtransmission144_heat,1,1
LQHtransmission144_to_LQHtransmission423_heat,1,1
LQHtransmission423_to_LQHtransmission427_heat,1,1
LQHtransmission427_to_LQHtransmission715_heat,1,1
LQHtransmission715_to_LQHtransmission181_heat,1,1
LQHtransmission181_to_LQHtransmission539_heat,1,1
LQHtransmission539_to_LQHtransmission631_heat,1,1
LQHtransmission631_to_LQHtransmission697_heat,1,1
LQHtransmission697_to_LQHtransmission806_heat,1,1
LQHtransmission597_to_LQHtransmission629_heat,1,1
LQHtransmission629_to_LQHtransmission573_heat,1,1
LQHtransmission573_to_LQHtransmission385_heat,1,1
LQHtransmission385_to_LQHtransmission723_heat,1,1
LQHtransmission723_to_LQHtransmission851_heat,1,1
LQHtransmission851_to_LQHtransmission199_heat,1,1
LQHtransmission199_to_LQHtransmission293_heat,1,1
LQHtransmission293_to_LQHtransmission287_heat,1,1
LQHtransmission287_to_LQHtransmission302_heat,1,1
LQHtransmission302_to_LQHtransmission531_heat,1,1
LQHtransmission531_to_LQHtransmission212_heat,1,1
LQHtransmission212_to_LQHtransmission691_heat,1,1
LQHtransmission691_to_LQHtransmission775_heat,1,1
LQHtransmission775_to_LQHtransmission24_heat,1,1
LQHtransmission24_to_LQHtransmission503_heat,1,1
LQHtransmission137_to_LQHtransmission812_heat,1,1
LQHtransmission812_to_LQHtransmission66_heat,1,1
LQHtransmission66_to_LQHtransmission673_heat,1,1
LQHtransmission547_to_LQHtransmission796_heat,1,1
